,title-de,content-de,title-en,content-en,title-zh,content-zh
0,USA und Japan einigen sich im Zoll-Handelsstreit,Die USA und Japan verkünden ein Handelsabkommen mit reduzierten Zöllen. US-Präsident Donald Trump feiert den Deal als historischen Erfolg - und kündigt massive Investitionen Japans in die amerikanische Wirtschaft an.,USA and Japan agree in customs trade dispute,The US and Japan announce a trade agreement with reduced tariffs. US President Donald Trump celebrates the deal as a historic success - and announces massive investment by Japan in the American economy.,美国和日本在海关纠纷中达成协议,"美国和日本宣布了一项减少关税的贸易协定. 美国总统唐纳德·特朗普将该协议作为历史性的成功,并宣布日本对美经济的大规模投资."
1,USA: Warum Trump auf Zölle statt auf Sanktionen setzt,Seit der Rückkehr von Donald Trump ins Amt setzt die US-Handelspolitik verstärkt auf Zölle statt Sanktionen. Die aggressive Zollstrategie sorgt international für Unsicherheit und belastet Unternehmen wie Märkte.,USA: Why Trump relies on tariffs instead of sanctions,"Since Donald Trump's return to office, US trade policy has increasingly focused on tariffs rather than sanctions. The aggressive customs strategy creates international uncertainty and burdens companies such as markets.",为什么特朗普要对关税负责而不是制裁?,"自从唐纳德·特朗普回任以来,美国贸易政策就加强了关税而不是制裁. 激进的关税战略让国际社会感到不安全,影响企业,如市场."
2,Macht Donald Trump Europas Wirtschaft groß?,Die rüde Handelspolitik des US-Präsidenten verschreckt Investoren. Für Europa und Deutschland ergeben sich dadurch neue Chancen. Aber werden sie auch genutzt?,Does Donald Trump grow Europe's economy?,"The rude trade policy of the US President scares investors. For Europe and Germany, this creates new opportunities. But are they also used?",唐纳德·特朗普会欧洲经济繁荣吗?,"美国总统的粗暴贸易政策威胁投资者,这给欧洲和德国带来了新的机会. 但他们也得到了利用吗?"
3,Deutschland genehmigt Export von Eurofightern in die Türkei,Berlin gibt grünes Licht für die Lieferung von 40 Eurofightern an die Türkei - auch auf Drängen Großbritanniens. Wegen offener Territorialkonflikte wurde auch Griechenland vorab informiert.,Germany approves export of Eurofighters to Turkey,Berlin gives the green light for the delivery of 40 Eurofighters to Turkey - also at the urging of Great Britain. Because of open territorial conflicts also Greece was informed in advance.,德国批准向土耳其出口欧洲芬兰人,柏林同意向土耳其提供40个欧洲芬兰人 - - 包括英国的逼迫 - - 的供应. 开放领土冲突也预先通知希腊.
4,Bundespolizei soll flächendeckend Taser bekommen,Mit Elektroschocks aus Tasern lassen sich Angreifer vorübergehend außer Gefecht setzen. Bundesinnenminister Dobrindt lobt die Geräte als wirkungsvolles Mittel. Kritiker warnen vor Gefahren.,Federal police should get nationwide Taser,"With electric shocks from Tasern, attackers can be temporarily put out of action. Federal Minister Dobrindt praises the devices as an effective means. Critics warn of dangers.",让联邦警察在空中用电击枪,电击可以暂时击退攻击者. 联邦部长杜布利特称其为有效的手段. 批评者警告:
5,News kompakt: Trump verkündet Deal mit Japan,Nach seiner 25-Prozent-Zoll-auf-alles-Drohung hat US-Präsident Donald Trump eine neue Handelsvereinbarung mit Japan bekanntgemacht. Die Ukraine beschneidet zwei Antikorruptionsbehörden. Das Wichtigste in Kürze.,Compact News: Trump Announces Deal with Japan,"Following its 25 percent-customs-to-all threat, US President Donald Trump has announced a new trade agreement with Japan. Ukraine is curtailing two anti-corruption agencies.",新闻报道: 特朗普宣布与日本的交易,"经过25%的民意调查,美国总统唐纳德·特朗普宣布了与日本的新贸易协定. 乌克兰截获了两名反腐败当局. 最重要的是,很快."
6,"Türkei: ""Samstagsmütter""-Gründerin Emine Ocak ist tot","Emine Ocak, die unermüdlich um Gerechtigkeit für ihren verschwundenen Sohn und unzählige andere kämpfte, ist tot. Ihr Vermächtnis als Mitbegründerin der ""Samstagsmütter"" in der Türkei lebt weiter.","Turkey: ""Saturday Mothers"" Founder Emine Ocak is dead","Emine Ocak, who struggled tirelessly for justice for her missing son and countless others, is dead. Her legacy as co-founder of the ""Saturday Mothers"" in Turkey lives on.","土耳其的""星期六母亲""女主角埃雷·奥考死了","为失踪的儿子和其他无数人伸张正义的埃姆·奥考死了. 她作为""圣日母亲""在土耳其的遗产继续存在."
7,EU-Migrationspolitik: Entwicklungshilfe als Druckmittel?,"Die EU erwägt offenbar einen Strategiewechsel: Länder, die bei der Rücknahme von Migranten nicht kooperieren, könnten weniger Entwicklungsgelder erhalten. Hilfsorganisationen und Experten üben heftige Kritik.",EU migration policy: development aid as a means of pressure?,The EU seems to be considering a change of strategy: countries that do not cooperate in the withdrawal of migrants could receive less development funds.,欧盟移民政策:发展援助作为筹码?,欧盟似乎正在考虑改变战略:不合作撤消移民的国家可能获得更少的发展资金. 援助机构和专家们正在受到强烈的批评.
8,Russland und die NATO: Eskalation in der Ostsee?,Sicherheitsexperten erwarten in den kommenden Monaten weitere Konflikte auf See zwischen Russland und den europäischen Ostsee-Anrainerstaaten der NATO. Dänemark nimmt verstärkt die russische Schattenflotte ins Visier.,Russia and NATO: Escalation in the Baltic Sea?,Security experts expect further conflicts at sea between Russia and NATO's European Baltic Sea countries in the coming months. Denmark is increasingly targeting the Russian shadow fleet.,俄罗斯和北约: 东海升级?,"安全专家将在未来几个月内,俄罗斯和北约的欧洲东海沿岸国家之间将有进一步的海事冲突. 丹麦正在对俄罗斯的影子舰队进行增援."
9,Würde die Wehrpflicht die Wirtschaft abwürgen?,"Eine Wiedereinführung der Wehrpflicht ist umstritten, aber derzeit durchaus mehrheitsfähig. Nun aber melden sich Wirtschaftsvertreter zu Wort, die Schaden für die Volkswirtschaft befürchten",Would conscription strangle the economy?,"A re-introduction of compulsory military service is controversial, but at the moment it is quite possible to achieve a majority. However, business representatives who fear damage to the economy now speak out.",征兵会扼杀经济吗?,"恢复兵役是有争议的,但目前仍具有多元性. 现在,经济代表们开始发言,他们担心经济会受到伤害."
