,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Corona-Maskenaffäre: Grüne fordern Untersuchungsausschuss,"Hat die deutsche Bundesregierung zu Beginn der Corona-Pandemie unnötig viel Geld für die Beschaffung von FFP2-Masken ausgegeben? Die Grünen fordern Aufklärung, nachdem ein Untersuchungsbericht nun komplett bekannt ist.",Corona mask affair: Greens call for committee of inquiry,"At the beginning of the Corona pandemic, has the German federal government spent an unnecessarily large amount of money on the procurement of FFP2 masks? The Greens demand clarification after a study report is now fully known.",Corona Mascanatic: Green is asking investigating investigation committee committee.,"科罗纳大流行时,德国联邦政府花大笔钱买燃料弹头了吗? 绿党要求了解情况,因为调查报告已经全面公布了"
1,Corona: Ex-Minister Jens Spahn und die Maskenaffäre,"FFP2-Masken besorgen, koste es, was es wolle - so verfuhr die deutsche Regierung zu Beginn der Covid-Pandemie. Der Versuch, Geschäfte rückgängig zu machen, hat juristische Folgen. Es könnte noch sehr teuer werden.",Corona: ex-minister Jens Spahn and the masquerade affair,Getting FFP2 masks at all costs - so the German government did at the beginning of the Covid pandemic. The attempt to reverse business has legal consequences. It could still be very expensive.,Corona: 前部长Jens Spash 和化妝师.,"德国政府在科维德大流行时就失败了,试图撤消交易,结果会造成法律后果. 可能会付出非常昂贵的代价."
2,Corona: Warum das Virus Deutschland weiter spaltet,Selten haben Anordnungen und Verbote die Gesellschaft in Deutschland so polarisiert wie in der Corona-Pandemie. Experten und Politiker fordern eine Aufarbeitung.,Corona: Why the virus continues to split Germany,Rarely have orders and prohibitions polarized society in Germany as much as in the Corona pandemic. Experts and politicians call for a revision.,科罗娜:为什么病毒会继续分裂德国?,德国的指令和禁令很少能像科罗纳大流行那样分化社会. 专家和政客要求进行升级.
3,Türkei: Erneut Festnahmen von oppositionellen Bürgermeistern,Die türkische Justiz geht weiter gegen Mitglieder der größten Oppositionspartei vor. Drei Bürgermeister von der sozialdemokratischen CHP wurden festgenommen. Kritiker sprechen von einer gezielten Kampagne.,Turkey: Once again arrests of opposition mayors,Turkish justice continues against members of the largest opposition party. Three mayors of the Social Democratic CHP were arrested. Critics speak of a targeted campaign.,土耳其:重新逮捕议员市长,土耳其司法部门继续对主要反对党成员进行审判. 社会民主党党的三名市长被逮捕了. 批评者说有针对性的竞选活动.
4,Trump zeigt sich für neue Russland-Sanktionen offen,Noch in den vergangenen Monaten war der US-Präsident auf Kemlchef Putin zugegangen. Doch nun gibt sich Donald Trump wegen des russischen Angriffskriegs gegen die Ukraine zunehmend verstimmt.,Trump is open to new Russia sanctions,"In recent months, the US President had approached Kemlchef Putin, but now Donald Trump is increasingly displeased by the Russian war of aggression against Ukraine.",特朗普公开支持新的俄罗斯制裁计划,"在过去几个月里,美国总统一直对普京进行攻击,但现在唐纳德·特朗普因为俄罗斯对乌克兰的侵略而越来越生气."
5,Mindestens 24 Tote nach Sturzflut in Texas,Überschwemmungen sind am Fluss Guadalupe im Süden der USA nichts Ungewöhnliches. Ein Unwetter hat nun aber eine verheerende Flut ausgelöst. Mehr als 20 Kinder werden vermisst.,At least 24 dead after flood in Texas,"Floods are not unusual on the Guadalupe River in the south of the USA. However, a storm has now triggered a devastating flood. More than 20 children are missing.",德州大洪水后至少死了24人,美国南部瓜达卢普河的洪水并不罕见. 暴风雪已经席卷了一场灾难. 超过20名儿童失踪.
6,News kompakt: Trump setzt umstrittenes Steuergesetz in Kraft,"Nach langem Ringen mit dem US-Kongress hat Präsident Donald Trump die sogenannte ""Big Beautiful Bill"" unterzeichnet. In Texas haben starke Regenfälle eine tödliche Sturzflut ausgelöst. Das Wichtigste in Kürze.",News compact: Trump implements controversial tax law,"After long struggles with the US Congress, President Donald Trump signed the so-called ""Big Beautiful Bill"". In Texas, heavy rains have caused a deadly flood.",新闻报道: 特朗普实施了争议性税法,"经过美国国会长期的争论,唐纳德·特朗普总统签署了所谓的""大美女比尔"". 在德克萨斯州,大雨席卷了一场大洪水. 最重要的是,即将到来."
7,IAEA: Atominspektoren haben Iran verlassen,Der Iran drohte schon seit längerem mit Konsequenzen wegen der Angriffe auf seine Atomanlagen. Die Kooperation mit den UN-Atomwächtern wurde auf Eis gelegt. Nun verlassen die internationalen Experten das Land.,IAEA: Atomic inspectors have left Iran,Iran has been threatening consequences for a long time because of the attacks on its nuclear facilities. Cooperation with the UN nuclear guards has been put on hold. Now the international experts are leaving the country.,国际原子能机构:核子调查员已离开伊朗,伊朗长期以来一直威胁要对其核设施进行攻击. 与联合国核防爆队的合作被冻结了. 国际专家们正在离开这个国家.
8,Warum beharrt der Iran auf seinem Atomprogramm?,"Der Iran setzt die Kooperation mit der Internationalen Atomenergiebehörde aus. Seit 1958 Mitglied der IAEA, betrachtet Teheran sein Atomprogramm als Symbol für Stärke, Unabhängigkeit und nun politisches Überleben.",Why does Iran insist on its nuclear program?,"Iran suspends cooperation with the International Atomic Energy Agency. Since 1958, a member of the IAEA, Tehran has seen its nuclear program as a symbol of strength, independence and now political survival.",为什么伊朗坚持他的核计划?,"伊朗停止与国际原子能机构合作. 自1958年以来,德黑兰一直把他的核计划视为强势,独立以及政治生存的象征."
9,Kroatien: 500.000 Zuschauer für rechtsextremen Sänger,"An diesem Samstag soll in Zagreb das größte Einzelkonzert in der Geschichte Europas stattfinden: Eine halbe Million Karten für den Auftritt des rechtsextremen Popstars Marko Perkovic alias ""Thompson"" wurden verkauft.","Croatia: 500,000 spectators for far-right singers","This Saturday the biggest single concert in the history of Europe will take place in Zagreb: half a million tickets for the performance of the far-right pop star Marko Perkovic alias ""Thompson"" were sold.",克罗地亚:50万观众为极右翼歌手.,本周六在扎格勒布举行欧洲历史上最大的一次独家演唱会:50万张欧洲极右翼流行歌手马科·佩克维克的演出票被卖出.
