,count,example,word-de,word-en,word-es,word-fr,word-zh
0,852,Cover Story newsletter: How we chose the cover image,die,the,la,des,排
1,601,RFK junior wants to ban an ingredient in vaccines. Is he right?,zu,to,a,à l ' Assemblée générale,至
2,500,"Inside the uneasy, incongruous coalition of the Big Three",von,of,de,des,联 联 年 月 日 月 日 月 月 日 月 月 日 月 月 月 日 月 月 日 月 月 日 月 月 月 日 月 月 日 月 月 月 日 月 的 月 月 月 日 月 月 日 月 的 月 月 月 月 日 月 月 月
3,498,RFK junior wants to ban an ingredient in vaccines. Is he right?,in der,in,en,dans,内
4,434,Would you pay $19 for a strawberry?,a,a,a,a,a a/
5,391,The GOP’s tax and policy bill,und,and,y,et,和
6,359,"Leung Kwok-hung, Hong Kong’s shaggy agitator for democracy",für,for,en lugar de,pour,用于
7,310,A congressman on how Democrats can regain the initiative on the economy,am,on,el,Le présent règlement entre en vigueur le vingtième jour suivant celui de sa publication au Journal officiel de l'Union européenne.,上 年 月
8,280,Why Thomas Jefferson is rolling in his grave,wird,is,es,est,是
9,224,Macron will beat Trump to London,Trump,Trump,Trump,Le Président. — L'ordre du jour appelle le rapport (doc.,特朗
10,186,A visit to the man with $10trn under management,mit,with,con,avec,与
11,179,Why commodities are on a rollercoaster ride,sie werden,are,son,sont,是
12,164,"Jeff Bezos 2.0: new wife, newish job, old vision",neu,new,nuevo,nouveaux,新建新
13,134,Xi Jinping’s surprise no-show at BRICS Summit fuels speculation about China's global standing,bei,at,en el,à,至 年
14,123,Cover Story newsletter: How we chose the cover image,Wie,How,Cómo,Comment,如何如何
15,120,Why the left gains nothing from pop stars’ support,Warum?,Why,¿Por qué?,Pourquoi,为什么
16,117,Inside Iran’s war economy,Krieg,war,guerra,guerre,战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争
17,112,Foreign Minister Johann Wadephul and Development Minister Reem Alabali Radovan on the lifting of all economic sanctions against Syria,Minister,Minister,Ministro,Ministre,"部长部长,部长"
18,108,"Oklahoma City has been reborn, 30 years after the bombing",nach,after,después,après,之后
19,107,China’s growth targets cause headaches—even when met,China,China’s,China,Chine,中国的中国
20,107,What to watch this weekend,Was ist?,What,¿Qué?,Quoi ?,什么什么是什么 是什么( What) 是什么( What)
21,99,Beware tomes of Chinese political gossip!,Chinesisch,Chinese,Chinos,Chinois,中文 中文 中文
22,95,Why the left gains nothing from pop stars’ support,von,from,desde,à partir de,调自
23,95,Germany remains reliable partner in the fight against global diseases,Deutschland,Germany,Alemania,Allemagne,德国 德国
24,93,180 new municipal partnerships formed between Germany and Ukraine since start of Russia’s war of aggression,Ukraine,Ukraine,Ucrania,Ukraine,乌克兰 乌克兰 乌克兰 乌克兰 乌克兰 乌克兰 乌克兰
25,90,A congressman on how Democrats can regain the initiative on the economy,kann,can,puede,peut,能够
26,84,Can Trump end America’s $1.8trn student-debt nightmare?,Amerikas,America’s,Estados Unidos,Amérique,美国的美国
27,84,How to strike a trade deal with Donald Trump,Donald,Donald,Donald,Donald,唐纳德·唐纳德
28,82,India’s Licence Raj offers America important lessons,Amerika,America,América,Amérique,美洲美洲
29,82,Two deceased campers identified as death toll rises after devastating Texas flood,als,as,como,comme,计为
30,81,Xi Jinping’s surprise no-show at BRICS Summit fuels speculation about China's global standing,global,global,mundial,mondial,全球环球
31,78,Foreign Minister Johann Wadephul and Development Minister Reem Alabali Radovan on the lifting of all economic sanctions against Syria,Entwicklung,Development,Desarrollo,et le développement,发展、发展、发展、发展
32,77,Foreign Minister Johann Wadephul and Development Minister Reem Alabali Radovan on the lifting of all economic sanctions against Syria,Alabali,Alabali,Alabali,Alabali,阿拉巴利
