,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Interpol: 158 Festnahmen bei Einsatz gegen Menschenhandel,Die Zugriffe fanden in über 40 Ländern auf der ganzen Welt statt. Fast 15.000 Beamte waren an den Ermittlungen beteiligt.,Interpol: 158 arrests against trafficking in human beings,"The visits took place in more than 40 countries around the world. Nearly 15,000 officials were involved in the investigation.",国际刑警组织:158次以贩卖人口为目的逮捕158人,"全球40多个国家都有这些访问记录 几乎有15,000名官员参与了这次调查"
1,EURO 2025: DFB-Frauen spielen gegen Schweden um Gruppensieg,Deutschlands Fußballerinnen wollen die Gruppenphase der Europameisterschaft in der Schweiz mit dem dritten Erfolg im dritten Spiel abschließen. Ein Remis reicht nicht für den Gruppensieg.,EURO 2025: DFB women play against Sweden for group victory,Germany's female football players want to complete the group phase of the European Championship in Switzerland with the third success in the third match. A draw is not enough for the group victory.,2025年欧盟:DFB妇女与瑞典人对打 集体胜利,德国女足球运动员想完成瑞士欧洲杯的第三场冠军赛. 一个足球队赢不了比赛.
2,IStGH sieht Anhaltspunkte für Kriegsverbrechen im Sudan,Der Bürgerkrieg im Sudan hat die größte Hunger- und Flüchtlingskrise der Welt ausgelöst. Der Internationale Strafgerichtshof in Den Haag ermittelt seit Jahren gegen mehrere Akteure des nordostafrikanischen Landes.,ICC provides evidence of war crimes in Sudan,The civil war in Sudan has triggered the world's biggest hunger and refugee crisis.The International Criminal Court in The Hague has been investigating several actors in the North-East African country for years.,国际刑事法院发现苏丹战争罪证据,苏丹内战引发了全世界最大的饥荒和难民危机. 海牙国际刑事法庭多年来一直在调查北欧国家多名行动者.
3,Berlin will von USA Patriots für Ukraine kaufen,Die Ukraine braucht unbedingt Unterstützung für die Luftabwehr bei ihrer Verteidigung gegen Russland. Nun hat Deutschlands Bundeskanzler Merz neue Patriots in Aussicht gestellt.,Berlin wants to buy from USA Patriots for Ukraine,Ukraine urgently needs support for air defence in its defence against Russia. Germany's Chancellor Merz has now offered new patriots.,柏林想从美国购买爱国者到乌克兰,"乌克兰急需空中防御,以防俄罗斯入侵. 现在德国总理默兹已经找到新的爱国者."
4,Trump verhängt neue Zölle gegen Kanada,US-Präsident Donald Trump eskaliert den Handelsstreit mit Kanada: Ab 1. August sollen 35-Prozent-Zölle gelten. In einem Brief kritisiert er auch Kanadas Rolle in der Fentanyl-Krise.,Trump imposes new tariffs on Canada,"US President Donald Trump escalates the trade dispute with Canada: 35 percent tariffs will apply from 1 August. In a letter, he also criticizes Canada's role in the fentanyl crisis.",特朗普对加拿大实施了新的关税,"美国总统唐纳德·特朗普升级了与加拿大的贸易纠纷:从8月1日起,他将接受35%的关税. 在一封信中,他批评加拿大在芬塔尼危机中的作用."
5,News kompakt: Milliardenhilfe für Wiederaufbau der Ukraine,Bei einer Konferenz in Rom wurden neue Aufbauhilfen für die Ukraine im Wert von einer Milliarde Euro zugesagt. Srebrenica gedenkt des Massakers in der bosnischen Stadt vor 30 Jahren. Das Wichtigste in Kürze.,News compact: billions of aid for reconstruction of Ukraine,"At a conference in Rome, new aid for Ukraine worth one billion euros was promised. Srebrenica commemorates the massacre in the Bosnian city 30 years ago. The most important thing in brief.",最新消息:为乌克兰重建提供数十亿美元的援助.,"30年前在波斯尼亚市发生的屠杀事件,斯雷布雷尼察曾承诺要为乌克兰提供10亿欧元的新援助. 最重要的是,很快."
6,PKK legt Waffen nieder: Ende des 40-jährigen Konflikts,Ein historischer Schritt: Nach 40 Jahren erklärt die PKK ihren bewaffneten Kampf für beendet und beginnt mit der Entwaffnung. Welche Chancen und Herausforderungen birgt dies für die Kurdenfrage im Nahen Osten?,PKK lays down weapons: End of the 40-year conflict,"A historic step: After 40 years, the PKK declares its armed struggle to be over and begins with disarmament. What opportunities and challenges does this present for the Kurdish question in the Middle East?",PK 会放下武器:40年冲突结束,"历史性的一步:经过40年,PKK宣布停止武装斗争,开始解除武装. 这对于中东库尔德问题有什么机会和挑战?"
7,Keine Regenbogenfahnen mehr in Bundestagsbüros,Parlamentspräsidentin Julia Klöckner lässt Regenbogenfahnen aus den Büros der Abgeordneten entfernen. Im Bundestag weht ein Hauch von Kulturkampf.,No more rainbow flags in Bundestag offices,Parliament President Julia Klöckner has rainbow flags removed from the offices of the deputies. In the Bundestag a breath of cultural struggle blows.,联邦会议办公室没有彩虹花,"众议院议员朱丽叶·柯克纳 (Julia Kluckner) 将彩虹花从众议员办公室中除去. 在德国国会,有一场文化斗争."
8,Obergrenze für Migranten an Schulen - eine gute Idee?,"Bildungsministerin Karin Prien hat vorgeschlagen, den Anteil von Einwandererkindern an Deutschlands Schulen zu begrenzen. Sie erntet Zuspruch und viel Kritik.",Limit for migrants in schools - a good idea?,Minister of Education Karin Prien has proposed to limit the proportion of immigrant children in Germany's schools. She reaps encouragement and much criticism.,学校里移民的上限 - 好主意?,"教育部长卡琳·普林提议将移民子女的比例限制在德国学校里. 她获得了支持,并提出许多批评."
9,Brasilien ist empört über Trumps 50-Prozent-Zölle,"US-Präsident Trump straft Brasilien mit satten Zöllen ab, weil ihm das Gerichtsverfahren gegen seinen alten Freund Bolsonaro nicht schmeckt. Das kann und will Brasiliens Staatschef Lula nicht auf sich sitzen lassen.",Brazil is outraged at Trump's 50 percent tariffs,US President Trump punishes Brazil with rich tariffs because he doesn't like the trial of his old friend Bolsonaro. Brazil's head of state Lula cannot and does not want to let that happen.,巴西对特朗普的五成关税很不满,"美国总统特朗普对巴西实施了严厉的惩罚,因为他不喜欢对老朋友波尔拿罗提起的审判. 这并不能,而且并不愿让巴西领导人露拉背黑锅."
