,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Gazastreifen: Erneut Todesopfer bei Hilfsgüterverteilung,"Chaos in Chan Junis bei einer Ausgabestelle für humanitäre Hilfe. 20 Menschen sterben. Die umstrittene Verteilorganisation GHF beschuldigt die Hamas, den tödlichen Aufruhr verursacht zu haben.",Gaza Strip: again fatalities in the distribution of aid,Chaos in Chan Junis at a humanitarian aid office. Twenty people die. The controversial distribution organization GHF accuses Hamas of causing the deadly riot.,加沙地带:重新分配物资时死亡,陈水扁在人道主义支出处发生混乱. 20人死亡. 争议深远的GHF分支机构指责哈马斯引发了致命的骚乱.
1,Waffenruhe-Gespräche zwischen Israel und Hamas stocken,Israel und die radikalislamische Hamas werfen sich gegenseitig eine Behinderung der indirekten Gespräche vor. Dabei geht es um eine Waffenruhe im Gazastreifen und die Freilassung israelischer Geiseln.,Facilitate ceasefire talks between Israel and Hamas,"Israel and radical Islamic Hamas accuse each other of impeding the indirect talks, including a ceasefire in the Gaza Strip and the release of Israeli hostages.",以色列和哈马斯之间的休战谈判正在进行中.,以色列和极端伊斯兰的哈马斯指责对方妨碍间接会谈. 这关系到加沙地带的停火和释放以色列人质.
2,EU-Abkommen mit Israel: Mehr Hilfe für Gazastreifen,Israel hat sich laut EU zu mehr humanitärer Hilfe für den Gazastreifen verpflichtet. Damit soll die Versorgung der notleidenden Bevölkerung verbessert werden. Der Schritt folgt auf wachsenden Druck aus Europa.,EU agreement with Israel: More aid for Gaza,"According to the EU, Israel has committed itself to increasing humanitarian aid to the Gaza Strip, which is intended to improve the supply of the needy population, following growing pressure from Europe.",欧盟与以色列达成的协议:增加对加沙地带的援助.,"按照欧盟的说法,以色列承诺对加沙地带提供更多的人道主义援助,这将改善对困苦民众的供给. 下一步是欧洲的压力不断增加."
3,Deutsche Hamas-Geiseln: Familien hoffen noch,"Die Hamas hält in Gaza weiterhin 59 Geiseln fest, darunter sieben Deutsch-Israelis. Fünf von ihnen könnten noch leben. Ihre Verwandten waren in Berlin, um auf das Schicksal der Verschleppten aufmerksam zu machen.",German Hamas Hostages: Families Still Hope,"Hamas continues to hold 59 hostages in Gaza, including seven German Israelis. Five of them could still live. Their relatives were in Berlin to draw attention to the fate of the abductees.",德国哈马斯枪战: 家庭希望.,"哈马斯继续在加沙扣留59名人质,包括7个德军伊斯兰人,其中5个可能还活着. 他们的亲属在柏林,以示注意被劫持者的命运."
4,Vulkan-Ausbruch auf Island - Urlauber in Sicherheit gebracht,Inmitten der Haupt-Touristensaison strömt aus einer Erdspalte auf der beliebten Reykjanes-Halbinsel in Island heiße Lava. Der internationale Flughafen Keflavik liegt in der Nähe.,Volcano eruption on Iceland - vacationers brought to safety,In the middle of the main tourist season hot lava flows from a fissure on the popular Reykjanes Peninsula in Iceland. Keflavik International Airport is nearby.,冰島火山喷發 - 渡假者安全地安置,"在主要巡游者季节,一个地块涌出 冰岛热熔岩的雷克雅奈斯海岛. 国际机场在基夫拉维克附近."
5,Haftstrafe für Erdogan-Gegner Imamoglu wegen Beleidigung,Istanbuls Bürgermeister Ekrem Imamoglu sitzt wegen unbewiesener Korruptionsvorwürfe in Untersuchungshaft. Nun wurde der Herausforderer von Präsident Erdogan in einem anderen Fall zu einer Gefängnisstrafe verurteilt.,Imprisonment of Erdogan opponent Imamoglu for insult,Istanbul Mayor Ekrem Imamoglu is in custody for unproven corruption charges. President Erdogan's challenger has now been sentenced to prison in another case.,以侮辱罪判埃尔多安·伊莫格鲁入狱,伊斯坦布尔的市长伊克伦姆·伊莫格卢因无证的贪污指控而入狱. 现在埃多耿总统的挑战者在另一起案件中被判入狱.
6,Florian Wellbrock schwimmt zu WM-Gold im Freiwasser,Nach seiner enttäuschenden Leistung bei Olympia 2024 meldet sich Langstreckenschwimmer Florian Wellbrock bei der WM in Singapur eindrucksvoll zurück - trotz problematischer Wasserqualität.,Florian Wellbrock swims to World Cup gold in the open water,"After his disappointing performance at the 2024 Olympics, long-distance swimmer Florian Wellbrock makes an impressive return to the World Cup in Singapore - despite the problematic water quality.",Florian Wellbrock 游向自由水域世界杯的黄金,在2024年奥运会表现令人失望后 长距离游泳的弗洛里安·韦尔布拉克 (Florian Wellbrock) 在新加坡世界杯上大获全胜 尽管水质有问题
7,US-Militär zieht 2000 Nationalgardisten aus Los Angeles ab,Auf Weisung von US-Präsident Trump waren im Juni 4000 Soldaten der Nationalgarde in die kalifornische Millionenstadt entsandt worden. Zuvor gab es in Los Angeles Proteste gegen die Abschiebepraxis der US-Regierung.,US military withdraws 2000 National Guards from Los Angeles,"Under the direction of US President Trump, 4,000 National Guard soldiers were sent to California's million-dollar city in June. Previously, there were protests in Los Angeles against the US government's deportation practice.",美国军方从洛杉矶撤出2000名国民警卫队士兵,"根据美国总统特朗普的指示,6月,4000名国民警卫队士兵被派往加州数百万城市. 迄今为止,在洛杉矶,有人抗议美国政府的撤军行为."
8,News kompakt: USA und Europäer erhöhen den Druck auf Iran,"Die USA, Deutschland, Frankreich und Großbritannien setzen dem Iran eine Frist zum Abschluss eines neuen Atomabkommens. Die EU kann sich nicht auf neue Sanktionen gegen Russland einigen. Das Wichtigste in Kürze.",Compact news: US and Europeans increase pressure on Iran,"The US, Germany, France and Great Britain set Iran a deadline for concluding a new nuclear agreement. The EU cannot agree on new sanctions against Russia.",最新消息:美国和欧洲人正在对伊朗施加压力.,"欧盟不能同意对俄罗斯实施新的制裁. 最重要的是,很快."
9,Kenias protestierende Generation Z leidet unter schweren Traumata,Seit über einem Jahr kämpft Kenias Jugend auf den Straßen für politischen Wandel im Land. Doch die gewaltvollen Zusammenstöße mit dem Staat hinterlassen Spuren. Angst und Panik gehören zum Alltag.,Kenya's Protesting Generation Z suffers severe trauma,"For over a year, Kenya's youth has been fighting on the streets for political change in the country. But the violent clashes with the state leave traces. Fear and panic are part of everyday life.",肯尼亚抗议的一代Z患有严重的创伤,肯尼亚青年在街头为国家政治变革而斗争了一年多. 但与政府暴力冲突留下了痕迹. 恐惧和恐慌是日常生活的一部分.
10,Deutschlands Stromautobahnen wachsen - schnell genug?,Ein entscheidender Faktor der Energiewende in Deutschland ist der Stromtransfer vom Norden des Landes in den Süden. Dazu braucht es gewaltige Investitionen in Stromtrassen. Wie weit ist das Land dabei bereits?,Germany's power highways are growing - fast enough?,A decisive factor in the energy transition in Germany is the transfer of electricity from the north of the country to the south. This requires huge investments in power lines. How far is the country already?,德国的电动铁路增长得够快吗?,德国的能源转型的一个关键因素是从北部到南部的电力转移. 这需要大量对电力流的投资. 德国已经有多远?
11,"Sommer, Sonne, Streit: Ferienzeiten in Deutschland",Millionen deutscher Schüler freuen sich über die Sommerferien. Doch für wen beginnen sie wann? Das sorgt jedes Jahr wieder für Streit.,"Summer, Sun, Dispute: Holidays in Germany","Millions of German students are looking forward to the summer holidays. But who do they start when? Every year, this creates a fight.","夏天,阳光,争执: 德国的假期.","德国学生对暑假感到高兴,但是他们什么时候开始为谁着想?"
