,title-es,content-es,title-de,content-de,title-en,content-en
0,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",Se trata del segundo caso confirmado en la comunidad y el decimoquinto en España desde el lunes,"Ein Journalist, der nach Mailand reiste, um Valencia-Atalanta zu bedecken, positiv für Coronavirus",Dies ist der zweite bestätigte Fall in der Gemeinde und fünfzehnte in Spanien seit Montag,"A journalist who traveled to Milan to cover Valencia-Atalanta, positive for coronavirus",This is the second case confirmed in the community and the fifteenth in Spain since Monday
1,Mapa de la expansión y claves para entender el coronavirus de Wuhan,"Qué es, cómo se transmite, cuál es la población más vulnerable y dimensiones del contagio en el mundo",Karte der Erweiterung und Schlüssel zum Verständnis der Wuhan-Kronovirus,"Was ist, wie es übertragen wird, was ist die anfälligste Bevölkerung und Dimensionen der Ansteckung in der Welt",Map of expansion and keys to understanding Wuhan's coronavirus,"What is it, how it is transmitted, what is the most vulnerable population and dimensions of contagion in the world?"
2,El turismo italiano se resiente; España mira expectante,La patronal hotelera del área de Venecia describe un sector “al borde del colapso”,Der italienische Tourismus ärgert sich; Spanien schaut erwartungsvoll,"Die Hotelunternehmerin im Gebiet von Venedig beschreibt einen Sektor, der am Rande des Zusammenbruchs liegt.",Italian tourism suffers; Spain looks expectant,The hotel manager of the Venice area describes a sector “on the verge of collapse”
3,“La magnitud del problema del coronavirus no será diferente a una gripe”,"Ángel Gil de Miguel, catedrático de Medicina Preventiva y Salud Pública de la Universidad Rey Juan Carlos, lanza un mensaje de tranquilidad",Das Ausmaß des Coronavirus-Problems unterscheidet sich nicht von einer Influenza-Grippe.,"Angel Gil de Miguel, Professor für Präventivmedizin und öffentliche Gesundheit der Universität König Juan Carlos, sendet eine Botschaft der Ruhe",“The magnitude of the coronavirus problem will not be different from a flu”,"Ángel Gil de Miguel, Professor of Preventive Medicine and Public Health at Rey Juan Carlos University, launches a message of tranquility"
4,Seis italianos encerrados por partida doble,Los compañeros de viaje de los cuatro positivos en Canarias están aislados del resto en el hotel en cuarentena,Sechs Italiener sind doppelt eingesperrt.,Die vier positiven Reisegefährten auf den Kanarischen Inseln sind vom Rest des Hotels unter Quarantäne isoliert.,Six Italians double-entry,The travel companions of the four positives in the Canary Islands are isolated from the rest in the quarantined hotel
5,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,El CDC confirma el primer caso de origen desconocido en Northern California. El infectado no ha viajado recientemente al extranjero ni ha tenido contacto con un caso confirmado,Trump ernennt Vizepräsident Pence für die Krise des Coronavirus,Der CDC bestätigt den ersten Fall unbekannter Herkunft in Northern California. Der Infizierte ist vor kurzem weder ins Ausland gereist noch hatte er Kontakt zu einem bestätigten Fall.,Trump appoints Vice President Pence in charge of the coronavirus crisis,The CDC confirms the first case of unknown origin in Northern California. The infected person has not recently travelled abroad or had contact with a confirmed case
6,El coronavirus de Wuhan | Japón cerrará todos sus centros escolares hasta fin de marzo,"Corea del Sur, con casi 1.600 casos, y EE UU posponen sus ejercicios militares conjuntos",Das Wuhan-Kronovirus Japan wird alle Schulen bis Ende März schließen,Südkorea mit fast 1.600 Fällen und den Vereinigten Staaten verschieben ihre gemeinsamen Militärübungen,Wuhan’s coronavirus  Japan will close all schools until the end of March,"South Korea, with nearly 1,600 cases, and the US postpone their joint military exercises"
7,El Gobierno salva el primer escollo de los Presupuestos gracias a ERC,El voto en contra de Junts per Catalunya indigna a los republicanos,Die Regierung rettet das erste Haushaltsproblem dank CKD,Die Stimme gegen Junts per Catalunya empört Republikaner,The Government saves the first hurdle of the Budgets thanks to ERC,The vote against Junts per Catalunya outrages Republicans
8,La mesa de diálogo se reunirá mensualmente y los acuerdos serán “en el marco de la seguridad jurídica”,El Gobierno y la Generalitat pactan un comunicado conjunto tras tres horas de reunión,"Der Dialogtisch tritt monatlich zusammen, und die Vereinbarungen werden im Rahmen der Rechtssicherheit geschlossen.",Die Regierung und die Generalitat vereinbaren eine gemeinsame Mitteilung nach drei Stunden Sitzung,The dialogue table will meet on a monthly basis and the agreements will be “in the framework of legal certainty”,The Government and the Generalitat agree on a joint communiqué after three hours of meeting
9,Así avanzan las encuestas en Galicia y País Vasco,"Los últimos sondeos y los datos básicos sobre el coronavirus, en la 'newsletter' de Kiko Llaneras de este miércoles",So kommen die Umfragen in Galicien und dem Baskenland voran,"Die jüngsten Umfragen und die Basisdaten zum Coronavirus in Kiko Llaneras' ""Newsletter"" am Mittwoch",This is how the surveys in Galicia and the Basque Country advance.,"The latest surveys and basic data on coronavirus, in this Wednesday's Kiko Llaneras 'newsletter'"
10,Ciudadanos pagaba un sueldo a un vocal de la Junta Electoral Central que resolvió recursos del partido,Andrés Betancor ejerció como asesor de la formación en el Congreso mientras era miembro de la máxima autoridad electoral,"Bürger zahlte ein Gehalt an einen Sprecher der Zentralen Wahlbehörde, der Parteiressourcen löste","Andrés Betancor übte im Kongress als Berater für die Ausbildung aus, während er ein Mitglied der höchsten Wahlbehörde war.",Citizens paid a salary to a member of the Central Electoral Board who resolved party resources,Andrés Betancor served as an adviser to the Congressional formation while he was a member of the highest electoral authority
