,count,example,word-de,word-en,word-zh
0,613,Viele Tote nach Flugzeugabsturz auf College in Bangladesch,in,in,. . .
1,454,Warum beharrt der Iran auf seinem Atomprogramm?,der,of the,- ... ... ...
2,414,Kraftvoller Schub für internationale Zusammenarbeit und eine gerechtere Welt,und,and,...而且... ...
3,350,Wahlschlappe für Japans Regierungskoalition,für,for,- ... 为...
4,288,Wie groß ist die Zerstörung von Irans Atomprogramm wirklich?,von,from,作者:
5,249,Wie groß ist die Zerstörung von Irans Atomprogramm wirklich?,die,the,- - - -
6,237,Warum beharrt der Iran auf seinem Atomprogramm?,auf,on the,. . .
7,192,Israel greift erneut Stellungen der Huthis im Jemen an,im,In the,. . .
8,184,Entwicklungsministerin Alabali Radovan führt in Ägypten Gespräche zum Wiederaufbau von Gaza,Alabali,Alabali,"Alabali, Alabali, Alabali, Alabali, Alabali, Alabali, Alabali, Alabali."
9,184,Entwicklungsministerin Alabali Radovan führt in Ägypten Gespräche zum Wiederaufbau von Gaza,Radovan,Radovan,拉多万 (Radovian)
10,181,Estland ist Europameister bei der Digitalisierung,bei,in the case of:,. . . .
11,177,Nach US-Kürzungen: Wie weiter mit der Entwicklungshilfe in Nahost?,mit,with,...是... ...
12,176,Sambias Cyber-Gesetz - Schutz für Bürger oder Unterdrückung?,-,"- No, no, no, no, no, no, no.",- - -
13,171,Deutschland bleibt verlässlicher Partner bei der Bekämpfung von weltweiten Krankheiten,Deutschland,Germany,"德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国."
14,159,Entwicklungsministerin Alabali Radovan führt in Ägypten Gespräche zum Wiederaufbau von Gaza,Entwicklungsministerin,Minister for Development,发展部部长
15,154,Iran: Wie groß ist das Strahlenrisiko nach den US-Angriffen?,nach,after,. . . . .
16,137,Israel greift erneut Stellungen der Huthis im Jemen an,an,to,印在... ...
17,132,Vorwürfe gegen Selenskyj nach Ermittlungen gegen Aktivist,gegen,against,被告人... ...
18,122,Statement von Entwicklungsministerin Reem Alabali Radovan zu dem Anschlag in Damaskus am 22. Juni,zu,to,...到... ...
19,122,Entwicklungsministerin Reem Alabali Radovan zur aktuellen Lage in Syrien:,zur,to the,...到... ...
20,107,Entwicklungsministerin Alabali Radovan: „Gerade jetzt dürfen wir Gaza nicht aus den Augen verlieren.“,aus,from,. . . .
21,105,Entwicklungsministerin Reem Alabali Radovan zur aktuellen Lage in Syrien:,Reem,Reem,Reem Reem
22,95,Merz fordert Feuerpause und mehr humanitäre Hilfe für Gaza,mehr,more,更多
23,93,Sommerurlaub im kühleren Norden - ein Trend?,ein,a,"一,二,三,四,三,四,四,四"
24,93,"Nach Umbenennung von Sportteams: Trump will  ""Redskins"" und ""Indians"" zurück",Trump,Trump,特朗普 特朗普
25,87,Iran: Wie groß ist das Strahlenrisiko nach den US-Angriffen?,den,the,. . . .
26,84,Iran: Wie groß ist das Strahlenrisiko nach den US-Angriffen?,Wie,How,如何... ...如何... ...如何...
