,count,example,word-de,word-en,word-es
0,1984,Mapa de la expansión y claves para entender el coronavirus de Wuhan,von,of,de
1,1250,Mapa de la expansión y claves para entender el coronavirus de Wuhan,die,ed,la
2,1015,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",den,on,el
3,935,Así avanzan las encuestas en Galicia y País Vasco,ng,in,en
4,622,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",a,a,a
5,619,Mapa de la expansión y claves para entender el coronavirus de Wuhan,und,and,y
6,486,El Gobierno salva el primer escollo de los Presupuestos gracias a ERC,die,the,los
7,459,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",was,that,que
8,409,Ciudadanos pagaba un sueldo a un vocal de la Junta Electoral Central que resolvió recursos del partido,ein,a,un
9,380,“La magnitud del problema del coronavirus no será diferente a una gripe”,vom,of the,del
10,290,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",durch,by,por
11,283,Así avanzan las encuestas en Galicia y País Vasco,die,the,las
12,257,“La magnitud del problema del coronavirus no será diferente a una gripe”,eine,one,una
13,244,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",für,for,para
14,222,El turismo italiano se resiente; España mira expectante,se,I know.,se
15,214,¿Por qué los mosquitos se ceban con nuestros tobillos?,mit,with,con
16,205,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,am,as at,al
17,163,El Supremo limita el pleito entre Sandra Ortega y el exgestor de su fortuna por su finiquito,s,your,su
18,159,“La magnitud del problema del coronavirus no será diferente a una gripe”,Nein.,no,no
19,143,Consumo da la razón a los clientes de Fnac que compraron un móvil 575 euros más barato por un error,mehr,more,más
20,119,"No, el origen del arroz con leche no es asturiano",ist,It's,es
21,93,El turismo italiano se resiente; España mira expectante,Spanien,Spain,España
22,87,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,Trump,Trump,Trump
23,71,El coronavirus de Wuhan | Japón cerrará todos sus centros escolares hasta fin de marzo,",",their,sus
24,69,"La historia de Duralex, una vajilla tan irrompible como nuestra nostalgia",wie,as,como
25,65,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,gegen,against,contra
26,60,Carlota Barrera: “Las mujeres sabemos lo que es sentirnos juzgadas. Por eso nuestra mirada cosifica menos”,ng,lo,lo
27,55,Los datos apuntan ya al peor año de incendios en España en tres décadas tras un agosto brutal,Brände,fire,incendios
28,54,Ser productivo o desaparecer,oder,o,o
29,54,Polémica en Francia por la cancelación de ‘Barbie’ en un cine de verano por “denigrar a la mujer”,Sommer,summer,verano
30,51,"Vox ha perdido 7,3 millones y más de la cuarta parte de las cuotas de sus afiliados en solo tres años",Jahre,years,años
31,48,"La ola de calor se despide con avisos en Alicante y Murcia por altas temperaturas y un récord de 45,8 grados en Jerez de la Frontera",Wärme,heat,calor
32,48,China desvela de qué está hecha la cara oculta de la Luna,was?,what,qué
33,48,"Jon Rahm, campeón de la liga saudí de golf sin ganar un solo torneo",ohne,no,sin
34,47,Abuelos que ponen límites al cuidado de sus nietos: “No quiero ser la canguro”,zu sein,be,ser
35,46,El Gobierno salva el primer escollo de los Presupuestos gracias a ERC,Regierung,Government,Gobierno
36,46,Los datos apuntan ya al peor año de incendios en España en tres décadas tras un agosto brutal,nach,after,tras
37,42,Todo Instagram está en Japón: por qué se ha convertido en el destino de moda entre los españoles,zwischen,between,entre
38,41,China desvela de qué está hecha la cara oculta de la Luna,"Es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay, es ist okay,",She's here.,está
39,40,"Inspectores, datos y “multones”, así cerca Ibiza a taxis pirata y ‘airbnbs’ ilegales",So,like this.,así
40,36,En la noche oscura del amor: dos miradas francesas al deseo,2,two,dos
41,34,Emergencias advierte de la mala calidad del aire en Madrid y pide evitar estar en exteriores por largo tiempo,Madrid,Madrid,Madrid
42,34,"Vox ha perdido 7,3 millones y más de la cuarta parte de las cuotas de sus afiliados en solo tres años",Mio. EUR,million,millones
43,33,Especial EL PAÍS en Arco | Muntadas: “La sociedad ha degradado las palabras”,ha,ha,ha
44,33,Así avanzan las encuestas en Galicia y País Vasco,Land,Country,País
45,33,"Modelos súper delgadas en los anuncios sí, pero que parezcan saludables",aber,but,pero
46,32,La precariedad laboral es el flanco débil de la ciberseguridad: “No puedes pedir un arquitecto y luego pagarle como a un albañil”,NUMMER,“No,“No
47,31,Consulte el mapa de los incendios activos en España y cómo van avanzando los fuegos,wie,how,cómo
48,31,Del remojón al escarapuche: platos poco conocidos que no hay que perderse si viajas al sur de España,Ja.,Yes,si
49,31,"Última hora de la guerra de Rusia y Ucrania, en directo | Zelenski y los líderes europeos celebran una “reunión preparatoria” antes de verse con Trump",Ukraine,Ukraine,Ucrania
50,30,"Alcaraz ante Sinner, el paradigma del nuevo tenis, ahora en la final de Cincinnati",ante,ante,ante
51,30,El incendio de Tres Cantos deja el peor balance de Madrid en la lucha contra el fuego del último lustro y desnuda los problemas de sus bomberos,Feuer,fire,fuego
52,30,El ocaso del veraneo en Italia: las familias ya solo van a la playa el fin de semana,nur,only,solo
53,30,Los datos apuntan ya al peor año de incendios en España en tres décadas tras un agosto brutal,Jetzt.,I've got it.,ya
54,29,Javier Bardem: “Hoy hay algún Hernán Cortés en el Congreso”,Es gibt,There's,hay
55,29,Modo ‘beta’ global: el experimento masivo de la IA,IA,AI,IA
56,29,Novo Nordisk repunta en Bolsa tras la aprobación de EE UU para utilizar Wegovy en enfermedades hepáticas,USA,USA,UU
57,28,"Última hora de la guerra de Rusia y Ucrania, en directo | Zelenski y los líderes europeos celebran una “reunión preparatoria” antes de verse con Trump",Krieg,war,guerra
58,28,Los datos apuntan ya al peor año de incendios en España en tres décadas tras un agosto brutal,3,three,tres
59,27,¿Una de cada cinco nuevas canciones creada por IA? Cada plataforma musical prepara la guerra por libre,alle,each,cada
60,27,Novo Nordisk repunta en Bolsa tras la aprobación de EE UU para utilizar Wegovy en enfermedades hepáticas,EE,EE,EE
61,27,Consumo da la razón a los clientes de Fnac que compraron un móvil 575 euros más barato por un error,EUR,EUR,euros
62,27,"Dos ataques israelíes contra el hospital Nasser en Gaza matan al menos a 20 personas, entre ellas cinco periodistas",weniger,less,menos
63,27,"‘Nuevo elogio del imbécil’, cínico alegato sobre la extinción de la inteligencia",über,on,sobre
64,27,"Brasil da una segunda vida al ‘Corazón partío’, de Alejandro Sanz",Leben,life,vida
65,26,"La huida por cuatro continentes de ‘Pacho’, el cerebro del atentado contra Vidal-Quadras",4,four,cuatro
