,count,example,word-de,word-en,word-es,word-fr,word-zh
0,707,Donald Trump brokers a peace plan in the Caucasus,die,the,la,des,排
1,496,Still want to be a London cabbie?,zu,to,a,à l ' Assemblée générale,至
2,465,Donald Trump brokers a peace plan in the Caucasus,in der,in,en,dans,内
3,405,"Instead of sanctions, Donald Trump announces a summit with Russia",von,of,de,des,联 联 年 月 日 月 日 月 月 日 月 月 日 月 月 月 日 月 月 日 月 月 日 月 月 月 日 月 月 日 月 月 月 日 月 的 月 月 月 日 月 月 日 月 的 月 月 月 月 日 月 月 月
4,314,Not all’s fair: Israel and accountability,und,and,y,et,和
5,296,"Instead of sanctions, Donald Trump announces a summit with Russia",a,a,a,a,a a/
6,283,Stablecoins: is this crypto’s big bang moment?,wird,is,es,est,是
7,230,Are nightmares bad for your health?,für,for,en lugar de,pour,用于
8,220,Donald Trump’s tariffs on Brazil are more bark than bite,am,on,el,Le présent règlement entre en vigueur le vingtième jour suivant celui de sa publication au Journal officiel de l'Union européenne.,上 年 月
9,213,"Instead of sanctions, Donald Trump announces a summit with Russia",Trump,Trump,Trump,Le Président. — L'ordre du jour appelle le rapport (doc.,特朗
10,130,"Instead of sanctions, Donald Trump announces a summit with Russia",mit,with,con,avec,与
11,128,Donald Trump’s tariffs on Brazil are more bark than bite,sie werden,are,son,sont,是
12,121,Shanxi province is struggling to diversify away from coal,von,from,desde,à partir de,调自
13,119,Cover Story newsletter: How we chose the cover image,Wie,How,Cómo,Comment,如何如何
14,108,America’s fertility crash reaches a new low,neu,new,nuevo,nouveaux,新建新
15,105,Savvy staff are moving from China’s nurseries to its care homes,China,China’s,China,Chine,中国的中国
16,102,How to greet people at work,bei,at,en el,à,至 年
17,101,"If America goes after India’s oil trade, China will benefit",nach,after,después,après,之后
18,96,"Instead of sanctions, Donald Trump announces a summit with Russia",Donald,Donald,Donald,Donald,唐纳德·唐纳德
19,92,"If America goes after India’s oil trade, China will benefit",China,China,China,Chine,中国 中国 中国 中国 中国 中国 中国
20,85,South America is fast becoming the world’s hottest oil patch,Amerika,America,América,Amérique,美洲美洲
21,82,Germany calls for stronger international cooperation to implement the 2030 Agenda,Deutschland,Germany,Alemania,Allemagne,德国 德国
22,78,"Japan’s dithering wartime leaders were just as harmful as European dictators, says Eri Hotta",als,as,como,comme,计为
23,77,"As the world focuses on Gaza, starvation also looms in Sudan",Welt,world,mundo,monde entier,世界世界
24,69,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Zusammenarbeit,cooperation,Cooperación,coopération,合作合作
25,68,Donald Trump’s tariffs on Brazil are more bark than bite,Trumps,Trump’s,Trump,Les Trumps,特朗普
26,65,Savvy staff are moving from China’s nurseries to its care homes,und,its,su,dont,其 其 其 其 年 其 其 其 其 其 年 的 其 其 其 其 年 的 其 其 其 其 的 其 其 其 其 其 的 其 其 其 其 的 其 其 其 其 的 其 其 其 的 其 其 其 的 其 其 其 的 其 其 其 其 的 其 其 其 的 其 其 其 的 其 其 的 其 其 的 其 其 的 其 其 其 的 其 其 其 的 其 其 的 其 其 其 的 其 的 其 其 的 其 其 的 其 其 的 其 的 其 的 其 其 的 其 其 的 其 的 其 的 其 的 其 的 其 的 的 其 的 的 的 其 的 的 的 的 其 的 的 的 的  的 的 的 的 的 的 的 的 的 的 的 的 的 的 的  的 的 的 的 的 的 的 的 的     的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的 的     的  的 的 的 的 的 的 的                的          的 的 的 的              的      的 的 的 的 的 的      的 的 的 的 的 的 的   的 的 的  的 的 的     的 的 的 的 的 的 的
27,64,Statement of German Development Minister Reem Alabali Radovan at Ukraine Recovery Conference,Ukraine,Ukraine,Ucrania,Ukraine,乌克兰 乌克兰 乌克兰 乌克兰 乌克兰 乌克兰 乌克兰
28,62,Israeli sentiment on the war in Gaza is shifting,Krieg,war,guerra,guerre,战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争、战争
29,62,Why a fling with a foreigner insults China’s “national dignity”,Warum?,Why,¿Por qué?,Pourquoi,为什么
30,60,"If America goes after India’s oil trade, China will benefit",Handel,trade,Comercio,commerce extérieur,贸易贸易贸易
31,57,South America is fast becoming the world’s hottest oil patch,Süden,South,Sur,Sud,南南
32,56,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Minister,Minister,Ministro,Ministre,"部长部长,部长"
33,56,"Buy now, pay later is taking over the world. Good",Über,over,más,sur,超过
34,56,What to watch this weekend,Was ist?,What,¿Qué?,Quoi ?,什么什么是什么 是什么( What) 是什么( What)
35,55,The US in brief: Donald Trump questions the count,ENTWICKLUNG,US,Estadounidense,États-Unis,美 美 美
36,52,Can pensioners rescue China’s economy?,Dosen,Can,Puede,Peut,能 能够
37,51,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Alabali,Alabali,Alabali,Alabali,阿拉巴利
38,51,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Entwicklung,Development,Desarrollo,et le développement,发展、发展、发展、发展
39,51,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Wirtschaft,economic,económicos,économique,经济、经济、 经济、 经济、 经济、 经济、 经济、
40,51,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Radovan,Radovan,Radovan,Radovan,拉多万
41,51,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Reem,Reem,Reem,Reem,Reeem  Reeem  Reeem 雷 Reeem
42,50,America’s barmy battle to ban bawdy books,Amerikas,America’s,Estados Unidos,Amérique,美国的美国
43,48,Germany calls for stronger international cooperation to implement the 2030 Agenda,Veröffentlichungen der Europäischen Gemeinschaften,international,internacionales,internationaux relatifs aux droits de l ' homme,国际国际
44,48,"Economic data, commodities and markets",Märkte,markets,mercados,marchés,市场市场
45,46,Statement of German Development Minister Reem Alabali Radovan at Ukraine Recovery Conference,Konferenz,Conference,Conferencia de las,Conférence,缔约国会议会议会议会议会议会议举行会议会议会议举行会议会议举行会议会议举行会议举行会议会议举行会议会议举行会议会议举行会议会议举行会议举行会议举行会议举行会议会议举行会议举行会议会议举行会议会议举行会议会议举行会议会议举行会议会议举行会议会议举行会议会议举行会议会议会议会议会议会议举行会议举行会议召开 会议举行会议会议会议会议会议会议会议举行会议会议举行会议会议举行会议会议会议会议会议会议召开会议会议举行 会的会议会议会议 举行会议会议会议会议会议会议会议会议会议召开会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议召开会议会议会议会议会议会议会议会议会议召开 会的会议 举行 会议会议召开会议会议会议会议会议会议召开会议会议会议会议会议会议召开会议会议会议会议会议会议召开会议会议会议会议会议会议召开会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议厅会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议会议
46,46,Growth opportunities through renewable energy: KfW loan benefits German and South African companies,Deutsch,German,Alemán,Allemand,德语 德语
47,46,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Stärker werden,Strengthen,Fortalecer,Renforcer,加强
48,46,"If America goes after India’s oil trade, China will benefit",wird,will,will,sera,会
49,46,The novels conservatives want you to read,Sie,you,tú,vous,您 您 的 您 您
50,45,"Six months after DeepSeek’s breakthrough, China speeds on with AI",GESUNDHEITSSCHUTZ,AI,AI,AI,AI AI AI
51,44,Alligator Alcatraz is an exercise in performative cruelty,und,an,an,et/ou,"a , a , a , a , a , a"
52,43,Can pensioners rescue China’s economy?,Wirtschaft,economy,economía,économique,经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济 经济
53,42,Germany remains reliable partner in the fight against global diseases,dagegen,against,contra,contre,日 年 年 年 月 日
54,41,Still want to be a London cabbie?,werden,be,# Ser # # Ser # # Ser # # Ser # # Ser # Ser #  # Ser # Ser # # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser # Ser       # Ser # Ser  # Ser       # Ser  # Ser   # Ser   # Ser  # Ser   # Ser  # Ser   # Ser  # Ser    # Ser    # Ser    # Ser      # Ser     # Ser        # Ser        # Ser  # Ser          # Ser   # Ser,être,"be be be 的, 是"
55,41,Trump signs executive orders to eliminate no-cash bail for suspects in DC and nationwide,Gleichstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselstrom-Wechselgenerator,DC,DC,D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D. D.,DC DC
56,40,Economists disagree about everything. Don’t they?,über,about,acerca de,à propos de,约约约
57,40,180 new municipal partnerships formed between Germany and Ukraine since start of Russia’s war of aggression,zwischen,between,entre,entre,之间
58,40,Donald Trump has purged one of the CIA’s most senior Russia analysts,hat,has,tiene,a,拥有
59,40,"Japan’s dithering wartime leaders were just as harmful as European dictators, says Eri Hotta",sagt,says,dice,dit :,说:
60,40,Still want to be a London cabbie?,wollen,want,¿Quieres?,Je veux,需要
61,39,Democrats are likely to lose the redistricting war,Sozialdemokraten,Democrats,Demócratas,Démocrates,民主民主党
62,39,Ancient ‘Viking diet’ makes a comeback: Here's what to know before you try it,Es wird,it,it,C'est ça.,"其 其 年 , 其 年 , 其 年 , 其"
63,38,"Six months after DeepSeek’s breakthrough, China speeds on with AI",Durchbruch,breakthrough,avance,percée,中中点
64,37,"California launches redistricting fight to ‘nullify’ Texas GOP plan, with Dems poised to gain 5 seats",Kampf,fight,¡Pelea!,Lutte,战斗
65,37,Xi Jinping’s city of the future is coming to life,Leben,life,vida,vie,生命
66,37,Donald Trump’s tariffs on Brazil are more bark than bite,mehr,more,más,plus,更多
67,36,The trade deal with America shows the limits of the EU’s power,Abmachung,deal,trato,marché conclu,发牌
68,36,Biopolis – into the microbiome,in die,into,en,dans,与
69,35,The US in brief: Trump gets out of a fine,aus,out,fuera,dehors,外出
70,35,"At Hamburg Sustainability Conference, participants from across the world provide input and strengthen international cooperation",Nachhaltigkeit,Sustainability,Sostenibilidad,Durabilité,可持续性
71,35,Donald Trump’s tariffs on Brazil are more bark than bite,Tarife,tariffs,aranceles,tarifs douaniers,关税关税
72,34,Wealthy dentist who killed ‘trophy wife’ on African safari is branded ‘evil’ Jekyll and Hyde,Wer,who,quién,qui,人 或 人
73,33,Donald Trump escalates his war on numbers,sein,his,su,son,排在《公约》
74,33,Uncovering the secret food trade that corrupts Iran’s neighbours,das,that,que,C'est-à-dire,",该数额,"
75,32,The US in brief: Donald Trump questions the count,kurz,brief,breve,bref,简简短
76,32,Germany calls for stronger international cooperation to implement the 2030 Agenda,Anrufe,calls,llamadas,appels,调来电话
77,32,Nayib Bukele could now rule El Salvador for life,könnte,could,podría,pourrait,能够
78,32,Cover Story newsletter: How we chose the cover image,Abdeckung,cover,cubierta,couverture,封面封面封面
79,32,China’s exporters shrug off the trade war—for now,aus,off,apagado,Départ,关闭
80,31,Treasure map: Trump finds gold in redistricting,Neueinschränkung,redistricting,redistribución,redessiner,重新划区
81,30,Savvy staff are moving from China’s nurseries to its care homes,Wohnungen,homes,hogares,Maisons,居家家庭
82,30,Donald Trump’s gift to Vladimir Putin,Putin,Putin,Putin,Poutine,普京
83,29,Germany remains reliable partner in the fight against global diseases,global,global,mundial,mondial,全球环球
84,29,Japan’s dealmaking machine revs up,nach oben,up,arriba,vers le haut,上上
85,28,Wealthy dentist who killed ‘trophy wife’ on African safari is branded ‘evil’ Jekyll and Hyde,Afrikanisch,African,África,Afrique,非洲人非洲非洲人
86,28,“Comrade” is making a comeback in China,Herstellung,making,fabricación,fabrication,制造
87,28,"Providence police violated city ordinance by assisting ICE operation, investigators find",Polizei,police,Policía,police,警 警 警 警察
88,28,How scared should you be of “the China squeeze”?,sollte,should,debe,devrait,应:
89,28,Growth opportunities through renewable energy: KfW loan benefits German and South African companies,bis,through,a través de,à travers,中 中 中
90,27,Xi Jinping’s city of the future is coming to life,Stadt,city,ciudad,ville,城市城市
91,27,Provence is not just a destination. It is a lifestyle brand,nicht,not,no,pas,否
92,27,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,strategische,strategic,estratégico,stratégique,战略战略战略
93,27,Biopolis – into the microbiome,"- Nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein, nein.",–,–,–,- ~ ~ ~ ~ ~
94,26,Development Minister Reem Alabali Radovan in South Africa: Strengthen economic cooperation and strategic partnership,Afrika,Africa,África,Afrique,非洲 非洲 非洲 非洲
95,25,"At Hamburg Sustainability Conference, participants from across the world provide input and strengthen international cooperation",gegenüber,across,a través de,de l'autre côté,横横
96,25,Cover Story newsletter: How we chose the cover image,Mitteilungsblatt,newsletter,boletín de noticias,bulletin d'information,通讯通讯
97,25,Everyone loses in the rage of China’s delivery wars,Wut,rage,rabia,rage,愤怒
98,25,"What 630,000 paintings say about the world economy",sagen,say,¡Dilo!,Disons :,说
99,25,Statement of German Development Minister Reem Alabali Radovan at Ukraine Recovery Conference,Erklärung,Statement,Declaración,Déclaration,声明声明声明声明声明
100,25,What to watch this weekend,diese,this,esto,Voici,这笔
101,24,Germany calls for stronger international cooperation to implement the 2030 Agenda,Tagesordnung,Agenda,Orden del día,Ordre du jour,议程项目议程议程议程议程议程议程 议程议程议程议程议程议程议程议程议程 议程议程议程 议程议程议程议程 议程议程议程 议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程议程
102,24,"French fries tied to diabetes risk, but not all potatoes 'created equal,' study finds",alle,all,todos,tous,全部( 全部)
103,24,The young American female soldiers of TikTok,amerikanisch,American,Americano,Américain,美裔美国人
104,24,"Providence police violated city ordinance by assisting ICE operation, investigators find",von,by,por,par,至
105,24,Growth opportunities through renewable energy: KfW loan benefits German and South African companies,Energie,energy,energía,énergie,能源能源
106,24,Everyone loses in the rage of China’s delivery wars,Verluste,loses,Pérdidas,perd,损失
107,24,Donald Trump’s redistricting ploy is politics at its most cynical,die meisten,most,la mayoría,la plupart des,多数
108,24,"Buy now, pay later is taking over the world. Good",Jetzt,now,ahora,Tout de suite.,现在
109,24,Germany remains reliable partner in the fight against global diseases,bleibt,remains,restos,restant,遗骸
110,24,Can pensioners rescue China’s economy?,Rettung,rescue,rescate,sauvetage,营救
111,24,180 new municipal partnerships formed between Germany and Ukraine since start of Russia’s war of aggression,Russlands,Russia’s,Rusia,Russie,俄罗斯的俄罗斯
112,24,Melania Trump commemorates 200 days since resuming role as first lady,seit,since,desde,depuis,自
113,24,180 new municipal partnerships formed between Germany and Ukraine since start of Russia’s war of aggression,Anfang,start,iniciar,début,开始
114,24,Growth-loving authoritarians are failing on their own terms,deren,their,su,leurs,他们的
115,24,Everyone loses in the rage of China’s delivery wars,Kriege,wars,guerras,guerres,战争战争的战争、战争和战争的战争
116,23,180 new municipal partnerships formed between Germany and Ukraine since start of Russia’s war of aggression,Aggression,aggression,agresión,Agression,侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略侵略
117,23,Growth opportunities through renewable energy: KfW loan benefits German and South African companies,Leistungen,benefits,prestaciones,avantages sociaux,福利福利
118,23,Biopolis – into the microbiome,Biopolis,Biopolis,Biopolis,Biopole,生物生物
119,23,Growth opportunities through renewable energy: KfW loan benefits German and South African companies,Unternehmen,companies,empresas,entreprises,公司公司
120,23,Everyone loses in the rage of China’s delivery wars,Lieferung,delivery,entrega,livraison,交付
121,23,Germany remains reliable partner in the fight against global diseases,Krankheiten,diseases,enfermedades,maladies,疾病 疾病 疾病 疾病
122,23,Everyone loses in the rage of China’s delivery wars,Jeder,Everyone,Todo el mundo,Tout le monde,每个人
