,title-es,content-es,title-de,content-de,title-en,content-en
0,"Última hora de los incendios en España, en directo | El fuego entre Zamora y Ourense sigue descontrolado y obliga a desalojar a 1.700 personas","La Junta considera “prácticamente controlados” los incendios de Puercas y de Molezuelas  (Zamora) tras una noche favorable | Feijóo reclama la movilización del ejército para la lucha contra el fuego | Renfe mantendrá suspendido el servicio entre Madrid y Galicia todo el viernes y hay una decena de carreteras cortadas, entre ellas la A-52","Die letzte Stunde der Brände in Spanien, live-Herausforderung Das Feuer zwischen Zamora und Ourense ist nach wie vor außer Kontrolle und zwingt 1 700 Menschen zu befreien.","Der Vorstand hält die Brände in Puercas und in Molezulas (Zamora) nach einer günstigen Nacht für praktisch unter Kontrolle. Feijóo fordert die Mobilisierung der Armee für den Kampf gegen das Feuer. Renfe wird den Dienst zwischen Madrid und Galicien am Freitag ausgesetzt halten, und es gibt ein Dutzend abgeschnittene Straßen, darunter die A-52","Last hour of the fires in Spain, live  The fire between Zamora and Ourense remains out of control and forces to evict 1,700 people","The Junta considers “practically controlled” the fires of Porcas and Molezuelas (Zamora) after a favorable night  Feijóo demands the mobilization of the army for the fight against the fire  Renfe will keep the service between Madrid and Galicia suspended all Friday and there are a dozen roads cut, among them the A-52"
1,"Interior cifra en 16 los incendios forestales activos con alto nivel de riesgo, con las llamas descontroladas entre Zamora y Ourense","El fuego originado en la localidad gallega de A Mezquita se extendió este jueves a Castilla y León y obligó a evacuar a 1.700 personas | La DGT mantiene 12 carreteras cortadas, todas secundarias | La alta velocidad entre Madrid y Galicia permanecerá interrumpida todo el viernes","Innerhalb von 16 aktiven Waldbränden mit hohem Risiko, mit unkontrollierten Flammen zwischen Zamora und Ourense","Das Feuer in der galizischen Ortschaft A Moschee verbreitete sich an diesem Donnerstag nach Kastilien und León und zwang 1700 Menschen zu evakuieren.Die DGT hat 12 abgehackte Straßen, alle Nebenstraßen skaliert Die Hochgeschwindigkeitsverbindung zwischen Madrid und Galicien wird am Freitag unterbrochen bleiben.","Interior number in 16 the active forest fires with high level of risk, with the flames out of control between Zamora and Ourense","The fire originated in the Galician town of A Mezquita spread this Thursday to Castile and Leon and forced to evacuate 1,700 people  The DGT keeps 12 roads cut, all secondary  The high speed between Madrid and Galicia will be interrupted all Friday"
2,Feijóo descarga de presión a sus barones y reclama medidas “de Estado” y el despliegue del Ejército,"El presidente del PP solemniza que España encara una “crisis nacional”, pero no reclama el nivel 3 de alerta",Feijóo Druckentladung auf seine Barone und fordert Maßnahmen der Staats-und Militäreinsatz,"Der Präsident der PP verkündet, dass Spanien mit einer nationalen Krise konfrontiert ist, fordert jedoch nicht die Alarmstufe 3",Feijóo releases pressure on his barons and calls for “State” measures and the deployment of the Army,"PP president solemnizes that Spain faces a “national crisis”, but does not claim level 3 alert"
3,Ayuso se suma al discurso de Vox y afirma que la “agenda ideológica” dificulta los trabajos de prevención contra los incendios,La presidenta de Madrid defiende la gestión del gobierno tras el fuego en Tres Cantos y dice que en España hay “un choque cultural” a raíz de la polémica en Jumilla,"Ayuso schließt sich der Rede von Vox an und erklärt, dass die ideologische Agenda von Ayuso die Arbeiten zur Verhütung von Bränden erschwert.","Die Präsidentin von Madrid verteidigt die Verwaltung der Regierung nach dem Feuer in Tres Cantos und sagt, dass es in Spanien einen kulturellen Schock gibt, der auf die Polemik in Jumilla zurückzuführen ist.",Ayuso joins Vox’s speech and affirms that the “ideological agenda” hinders the work of fire prevention,The president of Madrid defends the management of the government after the fire in Tres Cantos and says that in Spain there is “a cultural shock” following the controversy in Jumilla
4,"Pánico en Monterrei, el triángulo del fuego en España: “Vamos a morir todos abrasados”",Los vecinos de A Caridade se vieron atrapados por las llamas sin que nadie los asistiese. Los equipos de extinción están desbordados y agotados,"Panik in Monterrei, das Dreieck des Feuers in Spanien: Wir werden alle verbrennen.","Die Nachbarn von A Caridade wurden von den Flammen erwischt, ohne dass jemand sie besuchte.","Panic in Monterrei, the triangle of fire in Spain: “We’re all going to die scorched”",The neighbors of A Caridade were trapped by the flames without anyone assisting them. Extinction teams are overflowing and exhausted.
5,"Mapas | El incendio de Zamora y León, uno de los mayores de España","Un tercio de lo quemado es superficie agraria, que no computa para la serie histórica de grandes incendios forestales","Karten Der Brand von Zamora und León, einer der größten Spaniens","Ein Drittel der verbrannten Fläche ist landwirtschaftliche Fläche, die für die historische Serie großer Waldbrände nicht berücksichtigt wird.","Maps  The Zamora y León fire, one of the largest in Spain","One third of the burned is agricultural land, which does not count for the historical series of large forest fires"
6,"Muere Javier Lambán, expresidente de Aragón",El que fuera jefe del Ejecutivo aragonés entre 2015 y 2023 ha fallecido a los 67 años,"Javier Lambán stirbt, ehemaliger Präsident von Aragon",Der Leiter der aragonischen Exekutive von 2015 bis 2023 starb mit 67 Jahren,"Javier Lambán, former president of Aragon, dies",The one who was head of the Aragonese Executive between 2015 and 2023 has died at 67 years
7,Putin y Trump se reúnen en Alaska mientras Ucrania y Europa contienen el aliento,El presidente de EE UU apunta a la posibilidad de un encuentro futuro entre los líderes de los dos países enfrentados en el que se aborde el intercambio de territorios,"Putin und Trump treffen sich in Alaska, während die Ukraine und Europa den Atem halten","Der Präsident der Vereinigten Staaten weist auf die Möglichkeit eines künftigen Treffens zwischen den Staats- und Regierungschefs der beiden gegensätzlichen Länder hin, bei dem der Austausch von Gebieten in Angriff genommen wird.",Putin and Trump meet in Alaska while Ukraine and Europe hold their breath,The president of the United States points to the possibility of a future meeting between the leaders of the two countries in which the exchange of territories is addressed
8,"Última hora de la guerra de Rusia y Ucrania, en directo | Trump y Putin viajan hacia Alaska para debatir sobre la guerra de Ucrania",Los países europeos contienen el aliento ante una reunión crucial para el futuro del continente,"Letzte Stunde des Krieges in Russland und der Ukraine, Live-Trupp Trump und Putin reisen nach Alaska, um über den Krieg in der Ukraine zu diskutieren",Die europäischen Länder ermuntern ein für die Zukunft des Kontinents entscheidendes Treffen,"Last hour of the war in Russia and Ukraine, live Trump and Putin travel to Alaska to debate the war in Ukraine",European countries contain encouragement to a meeting crucial to the future of the continent
9,Putin logra en su visita a Trump en Alaska romper el aislamiento internacional,El presidente de EE UU celebra la cumbre sin ninguna concesión previa de Moscú y asegura que le bastarán “dos minutos” para decidir si el ruso actúa de buena fe,Putin erreicht bei seinem Besuch in Trump in Alaska die internationale Isolation zu brechen,"Der Präsident der Vereinigten Staaten hält den Gipfel ohne vorherige Moskauer Konzession ab und versichert, dass ihm zwei Minuten zur Verfügung stehen, um zu entscheiden, ob der Russe in gutem Glauben handelt.",Putin manages to break international isolation in his visit to Trump in Alaska,The US President holds the summit without any prior Moscow concession and assures him that “two minutes” will be enough to decide whether the Russian acts in good faith
