,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Europäer legen eigenen Ukraine-Vorschlag vor,Vor dem geplanten Treffen zwischen Donald Trump und Wladimir Putin präsentieren mehrere europäische Staaten einen eigenen Vorschlag für Friedensverhandlungen zur Ukraine - und fordern mehr Druck auf Russland.,Europeans present their own Ukraine proposal,"Before the planned meeting between Donald Trump and Vladimir Putin, several European states present their own proposal for peace negotiations on Ukraine - and demand more pressure on Russia.",欧洲正在提出自己的乌克兰提案,在唐纳德·特朗普和弗拉基米尔·普京计划召开会议之前 几个欧洲国家提出了自己的乌克兰和平谈判提案 要求对俄罗斯施加更多的压力
1,Ukraine: Worum geht es beim geplanten Putin-Trump-Treffen?,"Die Präsidenten Russlands und der USA wollen sich kommenden Freitag in Alaska treffen, um über ein mögliches Ende des Ukraine-Kriegs zu sprechen. Was will Trump erreichen, was Putin – und was sind die Streitthemen?",Ukraine: What is the planned Putin-Trump meeting about?,"The Presidents of Russia and the US want to meet in Alaska next Friday to talk about a possible end to the Ukraine war. What does Trump want to achieve, what Putin – and what are the issues?",乌克兰:拟议的普京·斯特兰普会议是关于什么的?,"俄罗斯总统和美国即将在阿拉斯加举行会议,讨论乌克兰战争可能结束的可能性. 特朗普想实现什么,普京的什么目标,以及什么是争议问题?"
2,Tschad: 20 Jahren Haft für Oppositionsführer Succès Masra,Im Tschad herrscht seit Jahrzehnten die Familie Déby autoritär. Eine wichtige Stimme der Opposition wird wohl verstummen: Der Politiker Succès Masra kommt für lange Zeit ins Gefängnis.,Chad: 20 years in prison for opposition leader Succès Masra,"For decades, the Déby family has been authoritarian in Chad. An important voice of the opposition will probably be silenced: the politician Succès Masra will be imprisoned for a long time.",乍得: 反对派领袖Succès Masra服刑20年,"数十年来在乍得,德比家族一直处于独裁统治地位. 反对派的一项重要声音可能会消失:政客苏西·马斯拉要蹲很久的牢."
3,Mexiko: Adidas-Designer bittet Indigene um Verzeihung,"Es geht um die sogenannte Sneaker-Sandale ""Chavarria Oaxaca Slip On"" des deutschen Sportartikelherstellers Adidas. Behörden in Mexiko drohten mit einer Klage - nach dem Vorwurf der kulturellen Aneignung.",Mexico: Adidas designer asks indigenous people to forgive,"It is about the so-called Sneaker-Sandale ""Chavarria Oaxaca Slip On"" of the German sporting goods manufacturer Adidas. Authorities in Mexico threatened with a lawsuit - after the accusation of cultural appropriation.",墨西哥 阿迪达斯设计师向土著人道歉,"有关德国体育用品公司Addas的 ""Chavalania Oakaca Spee On""的Sneaker Sandale (Sandale) 的所谓Schavarria Oakaca On. 墨西哥当局威胁要起诉 - - 文化占有."
4,Bandengewalt: Haiti verhängt Ausnahmezustand,Haitis Hauptstadt ist ein krimineller Hotspot. Aber auch in anderen Regionen des Karibikstaates treiben Banden ihr Unwesen. Die Übergangsregierung zieht nun weitreichende Konsequenzen.,Gang violence: Haiti imposes state of emergency,Haiti's capital city is a criminal hotspot. But gangs are also drifting around in other regions of the Caribbean state. The transitional government is now drawing far-reaching consequences.,黑帮暴力: 海地强制紧急状态,"海地的首都是一个犯罪的热点. 但是,在加勒比其他地区,帮派也在游荡. 过渡政府正在遭受深远的影响."
5,Frankreich: Migranten aus Kühltransporter gerettet,Die Menschen stammen aus Eritrea. Sie wollten mit dem Lastwagen weiter nach Großbritannien flüchten.,France: Migrants rescued from refrigerated transporters,The people are from Eritrea. They wanted to go on with the truck to the UK.,法国: 从冷却车救出移民,这些人来自厄立特里亚 他们打算乘卡车去英国
6,Nagasaki-Gedenken: Bürgermeister Suzuki warnt vor Atomkrieg,"Vor genau 80 Jahren warfen die USA über der japanischen Stadt Nagasaki ihre zweite Atombombe ab. Der heutige Bürgermeister mahnt, aus der Geschichte zu lernen.",Nagasaki Memorial: Mayor Suzuki warns of nuclear war,"Exactly 80 years ago, the U.S. dropped its second atomic bomb over the Japanese city of Nagasaki. Today's mayor is admonishing to learn from history.",长崎的念头是 铃木镇长警告要面对核战争,"80年前,在日本长崎上空,美国已将第二枚原子弹投向长崎. 今天的市长敦促他学习历史."
7,Warum afrikanische Eliten ausländische Kliniken bevorzugen,Die Ex-Präsidenten Muhammadu Buhari und Edgar Lungu sind in medizinischen Einrichtungen im Ausland gestorben. Deshalb wird in Afrika nun erneut über den Zustand der eigenen Krankenhäuser debattiert.,Why African elites prefer foreign clinics,"The ex-presidents Muhammadu Buhari and Edgar Lungu have died in medical institutions abroad. Therefore, the state of their own hospitals is being debated again in Africa.",为什么非洲精英们偏爱外国诊所?,"前总统穆罕默德·布哈里和埃德加·隆格在国外的医疗设施死了. 因此,非洲正在进行关于自己的医院状况的辩论."
8,Hunger im sudanesischen Al-Faschir - welche Hilfe nötig ist,"Hungersnot in Al-Faschir: Die sudanesische Stadt ist seit fast einem Jahr belagert. Kämpfer im Bürgerkrieg haben alle Zufahrtswege abgeschnitten. Die UN sprechen von der ""größten humanitären Krise der Welt"".",Hunger in the Sudanese Al-Fashir - what help is needed,"Famine in Al-Fashir: The Sudanese city has been besieged for almost a year. Fighters in the civil war have cut off all access routes. The UN speaks of the ""greatest humanitarian crisis in the world"".",苏丹的基地组织饥饿状况 - - 需要援助的 - - 需要援助的地区,"阿尔法尔的饥荒已经近一年了,苏丹城已经包围了. 内战的战士已经切断了所有入口. 联合国正在讨论""世界最大的人道主义危机"""
9,"Luhansk: ""Wir warten darauf, dass alles wird wie früher""","Es fehlt an Strom und Wasser, und die Lebensmittelpreise steigen. Moskau macht Druck, um in den besetzten Gebieten, die russische Staatsangehörigkeit durchzusetzen. Menschen im Luhansk-Gebiet berichten über ihren Alltag.","Luhansk: ""We're waiting for everything to turn out the way it used to be""","There is a lack of electricity and water, and food prices are rising. Moscow is putting pressure on the occupied territories to enforce Russian citizenship. People in the Luhansk area report on their everyday lives.","Luhansk: ""我们等待一切恢复原样""","缺乏电力和水,食品价格上升. 莫斯科为在被占领的俄罗斯领土上维护公民地位而施压. 卢亨斯克地区的人们报告他们日常生活情况."
