,title-en,content-en,title-de,content-de,title-es,content-es,title-fr,content-fr,title-zh,content-zh
0,The nightmare of a Trump-Putin pact isn’t over,A new Oval Office showdown with Zelensky looms after Alaska,Der Alptraum eines Trump-Putin-Pakts ist vorbei,Eine neue Oval Office Showdown mit Zelensky Webstühlen nach Alaska,La pesadilla de un pacto entre Trump y Putin no ha terminado,Un nuevo enfrentamiento de la Oficina Oval con Zelensky se cierne después de Alaska,Le cauchemar d'un pacte Trump-Putin n'est pas fini,Un nouveau showdown Oval Office avec Zelensky métiers après l'Alaska,Trump-Putin条约的噩梦尚未结束,在阿拉斯加之后 与Zelensky机根 进行新的Oval办公室决战
1,"The moral of “The Salt Path”, an embellished bestseller","The truth will catch up with you, but will readers want to hear it?","Die Moral des Salzwegs, ein verschönerter Bestseller","Die Wahrheit wird dich einholen, aber werden die Leser sie hören wollen?","La moraleja de “El Sendero Salado”, un bestseller embellecido","La verdad te alcanzará, ¿pero los lectores querrán escucharla?","La morale de la Voie Salée, un best-seller embelli","La vérité vous rattrapera, mais les lecteurs voudront-ils l'entendre?",""" 盐道 "" 的道德,一个精美的畅销畅销书","真相会追上你, 但读者会想听吗?"
2,Inside Opus Dei,How the Catholic organisation has come to have so much influence on Spanish life,Innerhalb von Opus Dei,Wie die katholische Organisation so viel Einfluss auf das spanische Leben hat,Dentro del Opus Dei,Cómo la organización católica ha llegado a tener tanta influencia en la vida española,À l'intérieur de l'Opus Dei,Comment l'organisation catholique a eu tellement d'influence sur la vie espagnole,Opus Dei 内部,天主教组织如何对西班牙的生活产生如此大的影响
3,Donald Trump’s gift to Vladimir Putin,"Russia’s leader is honoured, but offers little in return",Donald Trumps Geschenk an Wladimir Putin,"Russlands Führer wird geehrt, aber bietet wenig im Gegenzug",El regalo de Donald Trump a Vladimir Putin,"El líder de Rusia es honrado, pero ofrece poco a cambio",Don de Donald Trump à Vladimir Poutine,"Le leader de la Russie est honoré, mais offre peu en retour",唐纳德·特朗普给弗拉基米尔·普京的礼物,"俄国领导人感到荣幸,"
4,What might Trumpian meddling mean for Intel?,The president is behaving like an activist investor on Wall Street,Was könnte Trumpian einmischen für Intel bedeuten?,Der Präsident benimmt sich wie ein aktiver Investor an der Wall Street,¿Qué podría significar la intromisión de Trump para Intel?,El presidente se comporta como un inversionista activista en Wall Street,Qu'est-ce que ça peut signifier pour Intel ?,Le président se comporte comme un investisseur activiste sur Wall Street,Trumpian干涉英特尔意味着什么?,总统的行为就像华尔街的积极投资者
5,Arctic plunge: Trump and Putin dive in,"Our weekly podcast on democracy in America. This week, President Donald Trump welcomed Russian leader Vladimir Putin to the United States for the first time in a decade. We look at how the face-to-face meeting may alter the trajectory of the Ukraine war.",Arctic sink: Trump und Putin tauchen ein,"Unsere wöchentliche Podcast über Demokratie in Amerika. Diese Woche begrüßte Präsident Donald Trump den russischen Führer Wladimir Putin zum ersten Mal seit einem Jahrzehnt in den Vereinigten Staaten. Wir betrachten, wie das persönliche Treffen die Flugbahn des Ukraine-Krieges verändern könnte.",Sumersión ártica: Trump y Putin se sumergen en,"Esta semana, el presidente Donald Trump dio la bienvenida al líder ruso Vladimir Putin a los Estados Unidos por primera vez en una década. Miramos cómo la reunión cara a cara puede alterar la trayectoria de la guerra de Ucrania.",Plongée arctique : Trump et Poutine plongent dans,"Notre podcast hebdomadaire sur la démocratie en Amérique. Cette semaine, le président Donald Trump a accueilli le leader russe Vladimir Poutine aux États-Unis pour la première fois depuis une décennie. Nous examinons comment la rencontre en face-à-face pourrait modifier la trajectoire de la guerre en Ukraine.",北极陷入:特朗普和普京潜入,"我们每周一次的关于美国民主的播客。 本周,总统唐纳德·特朗普(Donald Trump)欢迎俄罗斯领导人弗拉基米尔·普京(Vladimir Putin)十年来首次来到美国。 我们研究了面对面的会议如何改变乌克兰战争的轨迹。"
6,Should you use a standing desk?,"The benefits are real, but seem to vary with age",Sollen Sie einen Stehtisch benutzen?,"Die Vorteile sind real, scheinen aber mit dem Alter zu variieren",¿Deberías usar un escritorio de pie?,"Los beneficios son reales, pero parecen variar con la edad",Tu devrais utiliser un bureau ?,"Les prestations sont réelles, mais semblent varier en fonction de l'âge.",你该用常备办公桌吗?,"福利是真实的,但看似随年龄而变化。"
7,Cover Story newsletter: How we chose the cover image,,Cover Story Newsletter: Wie wir das Coverbild gewählt haben,,Portada del boletín: Cómo elegimos la imagen de la portada,,Cover Story newsletter: Comment nous avons choisi l'image de couverture,,封面新闻通讯:我们如何选择封面图像,
8,What to watch this weekend,Our recommendations this week explore mythmaking,Was an diesem Wochenende zu sehen,Unsere Empfehlungen in dieser Woche erkunden Mythenmacherei,Qué ver este fin de semana,Nuestras recomendaciones de esta semana exploran la creación de mitos,Que regarder ce week-end,Nos recommandations cette semaine explorent le mythe,这周末看什么看这个周末,我们本周的建议 探索神话
9,Which are the deadliest European cities in a heatwave?,The region has already experienced thousands of deaths this year,Welches sind die tödlichsten europäischen Städte in einer Hitzewelle?,Die Region hat in diesem Jahr bereits Tausende von Todesfällen erlebt,¿Cuáles son las ciudades europeas más mortíferas en una ola de calor?,La región ya ha experimentado miles de muertes este año,Quelles sont les villes européennes les plus meurtrières d'une vague de chaleur?,La région a déjà connu des milliers de morts cette année,在热浪中最致命的欧洲城市是哪些?,本区域今年已经经历了数千人死亡
