,title-es,content-es,title-de,content-de,title-en,content-en
0,"Última hora de los incendios en España, en directo | El fuego se ceba con Ourense y Zamora con 8.000 vecinos evacuados: “Era como una película de miedo”","Cuatro heridos en estado crítico y tres graves por los incendios en León y Zamora | Interrumpida de nuevo la línea de alta velocidad Madrid-Galicia por otro fuego en Ourense | 11.500 hectáreas quemadas en Galicia, la mayoría en Ourense","Letzte Stunde der Brände in Spanien, Live-Football Das Feuer wird mit Ourense und Zamora mit 8.000 evakuierten Nachbarn gebastelt: Es war wie ein Horrorfilm","Vier in kritischem Zustand verletzt und drei schwere durch die Brände in León und Zamora Hlaing wieder unterbrochen die Hochgeschwindigkeitslinie Madrid-Galicia durch ein weiteres Feuer in Ourense în 11.500 ha verbrannt in Galicien, die meisten in Ourense","Last hour of the fires in Spain, live  The fire is simmering with Ourense and Zamora with 8,000 evacuated neighbors: “It was like a scary movie”","Four wounded in critical condition and three seriously by the fires in León and Zamora  Interrupted again the high speed line Madrid-Galicia by another fire in Ourense  11,500 hectares burned in Galicia, most in Ourense"
1,Un bombero de Castilla y León: “Para ganar 1.300 euros míseros hay que hacer 22 días trabajando como una bestia”,El colectivo de extinción critica la desorganización de la Junta ante los graves incendios,"Ein Feuerwehrmann von Kastilien und León: Um 1300 Euro zu verdienen, müssen Sie 22 Tage arbeiten wie ein Tier Hähnchen",Das aussterbende Kollektiv kritisiert die Desorganisation des Vorstands angesichts der schweren Brände,"A firefighter from Castile and León: “To win 1,300 euros you have to do 22 days working like a beast”",The extinction group criticizes the disorganization of the junta in the face of severe fires
2,"Polideportivos y seminarios de Zamora y Astorga, llenos de desalojados: “Los bomberos llegaron cuando ya teníamos las llamas en las casas”","En Castilla y León hay desplazadas 8.200 personas, ha informado el presidente Alfonso Fernández Mañueco","Sportler und Seminare in Zamora und Astorga, voll von Räumungen: Feuerwehrleute kamen, als wir die Flammen in den Häusern hatten","In Kastilien und León gibt es 8200 Vertriebene, hat Präsident Alfonso Fernández Mañueco berichtet","Sports and seminars in Zamora and Astorga, full of evicted people: “The firefighters arrived when we already had the flames in the houses”","In Castilla y León there are 8,200 displaced people, according to President Alfonso Fernández Mañueco"
3,"Óscar Puente, al PP: “No hay una catástrofe que les haya pillado trabajando”",Núñez Feijóo acusa al Gobierno de no tener políticas contra incendios y critica que el titular de Transportes se dedique “a frivolizar con el dolor ajeno”,"Oscar Brücke, an die PP: Es gibt keine Katastrophe, die sie beim Arbeiten erwischt hat.","Núñez Feijóo wirft der Regierung vor, keine Brandschutzpolitik zu haben, und kritisiert, dass der Inhaber von Verkehrsleistungen mit anderen Schmerzen frivolisiert wird.","Oscar Puente, to the PP: “There is no catastrophe that has caught them working”",Núñez Feijóo accuses the government of having no fire-fighting policies and criticizes that the holder of Transport is dedicated “to frivolizing with the pain of others”
4,"Últimas palabras de Mircea, el héroe de Tres Cantos, a su mujer, ya herido: “No sé si aguantaré”","La comunidad rumana logra reunir 13.000 euros en 16 horas para repatriar su cuerpo a Tulcea, su ciudad natal","Die letzten Worte Mirceas, des Helden von Tres Cantos, seiner Frau, die bereits verletzt ist: Ich weiß nicht, ob ich es ertragen werde.","Die rumänische Gemeinschaft kann 13.000 Euro in 16 Stunden sammeln, um ihren Körper nach Tulcea, ihrer Heimatstadt, zurückzuschicken.","Last words from Mircea, the hero of Tres Cantos, to his wife, already wounded: “I don’t know if I will endure”","The Romanian community manages to collect 13,000 euros in 16 hours to repatriate its body to Tulcea, its hometown"
5,¿Cómo avanzan los incendios del verano en España? Consulte el mapa con los fuegos activos,Al menos cinco grandes fuegos continúan fuera de control,Wie gehen die Sommerbrände in Spanien voran? Schauen Sie sich die Karte mit aktiven Feuern an,Mindestens fünf große Feuer bleiben außer Kontrolle,How do summer fires progress in Spain? See the map with active fires,At least five large fires remain out of control
6,"Última hora de la guerra de Rusia y Ucrania, en directo | Los líderes europeos piden a Trump que no se tomen decisiones sobre la guerra sin contar con Ucrania","Zelenski: “Esperamos que en la reunión en Alaska se consiga un alto al fuego” | El encuentro entre los líderes europeos, Zelenski y Trump se produce dos días antes de la reunión del presidente estadounidense y Putin en Alaska","Die letzte Stunde des Krieges in Russland und der Ukraine, live-Charakter Die europäischen Staats- und Regierungschefs fordern Trump auf, keine Entscheidungen über den Krieg ohne die Ukraine zu treffen.","Zelenski: Wir hoffen, dass bei dem Treffen in Alaska ein Waffenstillstand erzielt wird.","Last hour of the war of Russia and Ukraine, live  European leaders ask Trump not to make decisions about the war without having Ukraine","Zelenski: “We hope that a ceasefire will be achieved at the Alaska meeting”  The meeting between European leaders, Zelenski and Trump will take place two days before the meeting of US President and Putin in Alaska"
7,Alarma en Ucrania por un avance relámpago ruso en el frente de Pokrovsk,Zelenski confirma antes de la reunión entre Trump y Putin que las tropas invasoras han superado un sector de sus defensas en la provincia de Donetsk,Alarm in der Ukraine für einen russischen Blitzvormarsch an der Front von Pokrovsk,"Zelenski bestätigt vor dem Treffen zwischen Trump und Putin, dass die Invasionstruppen einen Verteidigungssektor in der Provinz Donezk überwunden haben.",Alarm in Ukraine by a Russian lightning advance on the front of Pokrovsk,Zelenski confirms before the meeting between Trump and Putin that invading troops have overcome a sector of their defenses in Donetsk province
8,Un equipo científico anuncia el descubrimiento de una nueva especie vinculada al origen del ser humano,"Los fósiles, atribuidos a un australopiteco desconocido que vivió en la actual Etiopía hace 2,6 millones de años, chocan con el escepticismo de otros expertos","Ein wissenschaftliches Team kündigt die Entdeckung einer neuen Spezies an, die mit dem Ursprung des Menschen verbunden ist.","Fossilien, die einem unbekannten Australopitek zugeschrieben wurden, der vor 2,6 Millionen Jahren in Äthiopien lebte, kollidieren mit der Skepsis anderer Experten.",A scientific team announces the discovery of a new species linked to the origin of the human being,"Fossils, attributed to an unknown australopitec who lived in today's Ethiopia 2.6 million years ago, clash with the skepticism of other experts"
9,Locura en los conciertos de Blackpink y Stray Kids: por qué el K-pop arrasa entre los jóvenes,"Redes sociales, mensajes de empoderamiento y conexión emocional son las claves de un género que trasciende lo musical y cala entre sus seguidores",Wahnsinn bei den Konzerten von Blackpink und Stray Kids: Warum der K-Pop unter den jungen Leuten verwüstet,"Soziale Netzwerke, Ermächtigungsbotschaften und emotionale Verbindung sind die Schlüssel zu einem Genre, das über das Musical und das Geschehen zwischen seinen Anhängern hinausgeht.",Madness at Blackpink and Stray Kids concerts: why the K-pop razes among young people,"Social networks, empowerment messages and emotional connection are the keys to a genre that transcends the musical and cove among its followers"
