,count,example,word-de,word-en,word-zh
0,484,Deutsche Soldaten in der Ukraine? Noch eine Phantomdebatte,in,in,. . .
1,327,Deutsche Soldaten in der Ukraine? Noch eine Phantomdebatte,der,of the,- ... ... ...
2,245,Tote und Verletzte bei Anschlägen in Kolumbien,und,and,...而且... ...
3,222,"""In die Sonne schauen"" soll den Oscar für Deutschland holen",für,for,- ... 为...
4,188,Für verlässliche Handelsbeziehungen mit Afrika: Bundeskabinett leitet Ratifizierung von EU-Handelsabkommen mit afrikanischen Staaten ein,von,from,作者:
5,179,Für verlässliche Handelsbeziehungen mit Afrika: Bundeskabinett leitet Ratifizierung von EU-Handelsabkommen mit afrikanischen Staaten ein,mit,with,...是... ...
6,166,Ukraine-Gipfel: Kann sich Europa auf die USA verlassen?,auf,on the,. . .
7,149,Ukraine-Gipfel: Kann sich Europa auf die USA verlassen?,die,the,- - - -
8,145,UN bestätigen erstmals Hungersnot im Gazastreifen,im,In the,. . .
9,139,Entwicklungsministerin Reem Alabali Radovan zu Gaza,Alabali,Alabali,"Alabali, Alabali, Alabali, Alabali, Alabali, Alabali, Alabali, Alabali."
10,139,Entwicklungsministerin Reem Alabali Radovan zu Gaza,Radovan,Radovan,拉多万 (Radovian)
11,130,Große Messe: Erstmals nach 200 Jahren: Mönch legt Gelübde in Neuzelle ab,nach,after,. . . . .
12,120,Estland: Keine Angst vor Russland,vor,before,...前... ...
13,112,Entwicklungsministerin Reem Alabali Radovan zu Gaza,zu,to,...到... ...
14,106,Nach dem Ukraine-Gipfel in den USA - was kann Deutschland beitragen?,Deutschland,Germany,"德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国,德国."
15,102,Russisch-ukrainischer Krieg: Ukraine beschießt russische Pipeline - wo kommt noch Öl an?,an,to,印在... ...
16,102,Merz und von der Leyen unterstützen Selenskyj bei Trump,Trump,Trump,特朗普 特朗普
17,100,Nach dem Ukraine-Gipfel in den USA - was kann Deutschland beitragen?,-,"- No, no, no, no, no, no, no.",- - -
18,99,Scheidung in Asien: Für Frauen ein Kampf gegen Gesetze und Traditionen,ein,a,"一,二,三,四,三,四,四,四"
19,97,Deutsche Soldaten in der Ukraine? Noch eine Phantomdebatte,Ukraine,Ukraine,乌克兰
20,94,Tote und Verletzte bei Anschlägen in Kolumbien,bei,in the case of:,. . . .
21,93,Entwicklungsministerin Reem Alabali Radovan zu Gaza,Entwicklungsministerin,Minister for Development,发展部部长
22,92,Entwicklungsministerin Reem Alabali Radovan zu Gaza,Gaza,Gaza,加沙
23,91,News kompakt: Klage gegen Thailands Ex-Premier abgewiesen,gegen,against,被告人... ...
24,81,"Entwicklungsministerin Alabali Radovan zum UN-Bericht zur Lage der weltweiten Ernährungssicherheit (""SOFI-Report"")",zur,to the,...到... ...
25,80,Was man zum Saisonstart der Fußball-Bundesliga wissen sollte,zum,to the,...到... ...
26,72,Impfstoffe aus Afrika: Ein Anfang ist gemacht,aus,from,. . . .
27,70,Berlin und das Mahnmal für die Opfer des Kommunismus,das,the,那个...
28,69,USA wollen mehr als 55 Millionen Visa-Inhaber überprüfen,mehr,more,更多
29,65,Ukraine-Gipfel: Kann sich Europa auf die USA verlassen?,sich,you,自我
30,63,Streit über Steuererhöhungen: So ungerecht ist das deutsche Steuersystem,über,on,- - - -
31,62,Merz: Erwartungen an Ukraine-Gipfel wurden übertroffen,Merz,Merz,梅爾茲
32,59,Was man zum Saisonstart der Fußball-Bundesliga wissen sollte,Was,What,什么?
33,58,Nach dem Ukraine-Gipfel in den USA - was kann Deutschland beitragen?,den,the,. . . .
34,58,Wie Lieferdienste ihre Verantwortung auslagern,Wie,How,如何... ...如何... ...如何...
35,54,Impfstoffe aus Afrika: Ein Anfang ist gemacht,ist,is,. . . . .
36,51,USA wollen mehr als 55 Millionen Visa-Inhaber überprüfen,als,as,...当... ...
37,51,Bundesregierung fördert Games-Branche,Bundesregierung,Federal Government,联邦政府
38,50,Merz und von der Leyen unterstützen Selenskyj bei Trump,Selenskyj,Selenskyj,塞伦斯基
39,50,Alabali Radovan beim Treffen der G20-Entwicklungsminister*innen: Globale Partnerschaften sichern in unsicheren Zeiten,Treffen,Meetings,见面吧
40,50,Entwicklungsministerin Alabali Radovan in Südafrika: Wirtschaftliche Zusammenarbeit und strategische Partnerschaft stärken,Zusammenarbeit,Cooperation,合作
41,46,News kompakt: Trump und Putin wollen sich in Alaska treffen,Putin,Putin,普京 . . . 普京 . . . 普京 . . . . 普京 . . . 普京 . . . . . 普京 . . . . . . 普京 . . . . . . . . 普京 . . . . . 普京 . . . . . . . . . .
42,46,Entwicklungsministerin Reem Alabali Radovan zu Gaza,Reem,Reem,Reem Reem
43,46,Ukraine-Liveblog: ++ Selenskyj: Moskau will Gipfel verhindern ++,will,want,...我... ...
44,45,Israel genehmigt Einsatzpläne für Gaza-Stadt - und droht der Hamas,Israel,Israel,"以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列,以色列."
45,41,Wachstumschancen durch erneuerbare Energien: KfW-Kredit hilft deutschen und südafrikanischen Unternehmen,durch,by,...通过... ...通过...
46,39,Nach dem Ukraine-Gipfel in den USA - was kann Deutschland beitragen?,dem,The,...他... ...
47,39,Berlin und das Mahnmal für die Opfer des Kommunismus,des,of the,- ... ...
48,39,Gamescom: Polens junge Games-Branche buhlt um Aufmerksamkeit,um,for,. . . .
49,39,Ukraine-Gipfel: Kann sich Europa auf die USA verlassen?,USA,USA,"美国,美国,美国,美国,美国,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美,美"
50,36,Biopolis – Reise ins Mikrobiom,ins,In the case of:,...在... ...
51,36,Estland: Keine Angst vor Russland,Russland,Russia,俄罗斯
52,36,Bosnien: Milorad Dodik wird nicht kampflos abtreten,wird,will,. . . . . .
53,35,Alabali Radovan beim Treffen der G20-Entwicklungsminister*innen: Globale Partnerschaften sichern in unsicheren Zeiten,beim,at the,. . . .
54,35,Deutsche Soldaten in der Ukraine? Noch eine Phantomdebatte,Deutsche,German,德国佬
55,35,Bosnien: Milorad Dodik wird nicht kampflos abtreten,nicht,not,"不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不,不."
56,34,Bundesregierung fordert Sicherheitsgarantien für Ukraine,fordert,Calls,要求...
57,34,Deutschland setzt auf verstärkte internationale Zusammenarbeit zur Umsetzung der Agenda 2030,setzt,Sets,坐下吧
58,33,"Entwicklungsministerin Alabali Radovan zum UN-Bericht zur Lage der weltweiten Ernährungssicherheit (""SOFI-Report"")",Lage,Situation,情况危急
59,33,Warum ist Trump China gegenüber so nachgiebig?,Warum,Why,为什么?
60,32,Wachstumschancen durch erneuerbare Energien: KfW-Kredit hilft deutschen und südafrikanischen Unternehmen,deutschen,German,德国佬
61,31,Große Messe: Erstmals nach 200 Jahren: Mönch legt Gelübde in Neuzelle ab,ab,from,从下到下
62,31,Impfstoffe aus Afrika: Ein Anfang ist gemacht,Afrika,Africa,非洲
