,title-es,content-es,title-de,content-de,title-en,content-en
0,Ciudad de Gaza entra oficialmente en hambruna a las puertas de la invasión del ejército de Israel,La ONU responsabiliza al Estado judío del hambre extrema que sufre ya más de medio millón de palestinos. El ministro de Defensa amenaza con abrir “las puertas del infierno” si Hamás no se desarma y libera a los rehenes,Gaza-Stadt tritt offiziell in Hungersnot vor den Toren der Invasion der israelischen Armee,"Die UNO ist für den extremen Hunger verantwortlich, unter dem bereits mehr als eine halbe Million Palästinenser leiden. Der Verteidigungsminister droht die Tore zur Hölle zu öffnen, wenn die Hamas nicht entwaffnet und die Geiseln befreit.",Gaza City officially enters famine at the gates of the invasion of the Israeli army,The United Nations holds the Jewish State responsible for the extreme hunger that more than half a million Palestinians already suffer. The Defense Minister threatens to open “the gates of hell” if Hamas does not disarm and free the hostages.
1,Última hora del conflicto en Oriente Próximo | El jefe de la ONU condena la hambruna en Gaza: “Israel debe garantizar el suministro de alimentos y medicinas a la población”,"Naciones Unidas declara oficialmente la situación de hambruna en Ciudad de Gaza | Medio millón de personas sufren la hambruna, que se extenderá a Deir al Balah y Jan Yunis en septiembre",Letzte Stunde des Konflikts im Nahen Osten UNO-Chef verurteilt Hungersnot im Gazastreifen: Israel muss die Versorgung der Bevölkerung mit Nahrungsmitteln und Medikamenten gewährleisten,"Die Vereinten Nationen erklären offiziell die Hungersnot in Gaza-Stadt. Eine halbe Million Menschen leiden unter der Hungersnot, die sich im September auf Deir al-Balah und Jan Yunis ausbreiten wird.",Last Hour of the Conflict in the Middle East  UN leader condemns famine in Gaza: “Israel must guarantee the supply of food and medicine to the population”,"United Nations officially declares famine situation in Gaza City  Half a million people suffer famine, which will spread to Deir al Balah and Jan Yunis in September"
2,Hay que detener a Israel,"El país al que huyó mi padre, un Estado fundado como refugio para los supervivientes del Holocausto, está matando de hambre a niños. Es posible cruzar la línea que separa a la víctima del verdugo",Israel muss aufgehalten werden,"Das Land, in das mein Vater geflohen ist, ein Staat, der als Zuflucht für die Überlebenden des Holocaust gegründet ist, tötet Kinder vor Hunger. Es ist möglich, die Grenze zu überqueren, die das Opfer des Henkers trennt.",Israel Must Be Stopped,"The country to which my father fled, a State founded as a refuge for Holocaust survivors, is starving children. It is possible to cross the line separating the victim from the executioner."
3,"Israel veta la entrada al país del alcalde de Barcelona, Jaume Collboni: “Es un acto hostil”",El Gobierno de Netanyahu ha revocado el permiso de entrada que tenía el edil para viajar a Jerusalén y Cisjordania por “sus antecedentes de difamación”,"Israel sieht die Einreise des Bürgermeisters von Barcelona, Jaume Collboni, ins Land an: Es ist ein feindlicher Akt.",Die Regierung von Netanyahu hat die Einreisegenehmigung für die Reise nach Jerusalem und das Westjordanland für ihre Vergangenheit der Verleumdung widerrufen.,Israel vetoes Mayor of Barcelona Jaume Collboni’s entry into the country: “It’s a hostile act”,Netanyahu’s government has revoked the edil’s entry permit to travel to Jerusalem and the West Bank for “his record of defamation”
4,Dos salvajes atentados simultáneos recrudecen la violencia en Colombia y ponen contra las cuerdas al Estado,"Un ataque con explosivos a una base militar en Cali y el derribo de un helicóptero de la Policía en Antioquia, ambos por parte de disidencias de las FARC, visibilizan la profunda crisis de seguridad en el país","Zwei wilde, gleichzeitig verübte Attentate verstärken die Gewalt in Kolumbien und wehren dem Staat die Schnüre.","Ein Bombenanschlag auf einen Militärstützpunkt in Cali und der Sturz eines Polizeihubschraubers in Antioquia, beide von den FARC-Abhängern, bewundern die tiefe Sicherheitskrise im Land",Two savage simultaneous attacks increase violence in Colombia and set the State against the ropes,"An explosive attack on a military base in Cali and the shooting down of a police helicopter in Antioquia, both by FARC dissidents, make visible the deep security crisis in the country"
5,Powell abre la puerta a un recorte de tipos en septiembre por los riesgos económicos “cambiantes”,Los mercados financieros reaccionan con fuertes subidas a las palabras del presidente de la Reserva Federal en Jackson Hole,Powell öffnet die Tür zu einem ermäßigten Satz im September wegen der wirtschaftlichen Risiken schleppend,Die Finanzmärkte reagieren mit starken Erhöhungen auf die Worte des Präsidenten der Federal Reserve bei Jackson Hole,Powell opens the door to a rate cut in September due to “changing” economic risks,Financial markets react with strong rises to the words of the Federal Reserve President in Jackson Hole
6,Sánchez respalda a la directora de Protección Civil tras los ataques del PP: “Ha estado siempre al pie del cañón”,El presidente del Gobierno anuncia que llevará su propuesta de pacto de Estado contra los fuegos a la próxima conferencia de presidentes,Sanchez unterstützt die Direktorin für Katastrophenschutz nach den Angriffen der PP: об war immer am Fuße der Kanone gestanden,"Der Präsident kündigt an, dass er seinen Vorschlag für einen Staatsbund gegen Feuer zur nächsten Konferenz der Präsidenten bringen wird.",Sánchez backs the Director of Civil Protection after the PP attacks: “She has always been at the bottom of the canyon”,The president of the government announces that he will take his proposal for a state pact against fires to the next conference of presidents
7,"Última hora de los incendios en España, en directo | Sánchez anuncia que la próxima Conferencia de Presidentes estará dedicada al pacto de Estado contra el cambio climático",Estabilizado el incendio de Jarilla tras quemar 17.300 hectáreas en 10 días | La meteorología ayuda a mejorar la situación de los 17 grandes incendios activos | Varias decenas de personas desalojadas por tres nuevos fuegos en Pontevedra y Lugo,"Letzte Stunde der Brände in Spanien, Live-Sanchez kündigt an, dass die nächste Konferenz der Präsidenten dem Pakt gegen den Klimawandel gewidmet sein wird","Das Feuer von Jarilla nach dem Brennen von 17.300 Hektar in 10 Tagen stabilisiert Die Meteorologie hilft, die Situation der 17 großen aktiven Feuer zu verbessern ● Mehrere Dutzende von Menschen wurden von drei neuen Feuern in Pontevedra und Lugo befreit","Last hour of the fires in Spain, live  Sánchez announces that the next Conference of Presidents will be dedicated to the state pact against climate change","Stabilized the fire of Jarilla after burning 17,300 hectares in 10 days  Weather helps improve the situation of the 17 large active fires  Several dozens of people evicted by three new fires in Pontevedra and Lugo"
8,Cuando un incendio se adentra en la reserva natural del Lago de Sanabria: “Somos la España vaciada y la quemada”,El fuego de Porto sigue activo en tres focos. La zona acusa la despoblación y los problemas por la limpieza de los caminos,Wenn ein Feuer in das Naturschutzgebiet des Sees von Sanabria eindringt: Wir sind das leere Spanien und das verbrannte Spanien,Das Feuer von Porto ist immer noch in drei Brennpunkten aktiv. Das Gebiet beschuldigt die Entvölkerung und die Probleme durch die Reinigung der Straßen,When a fire enters the nature reserve of Lake Sanabria: “We are Spain emptied and burned”,The fire of Porto is still active in three hot spots. The area is accused of depopulation and problems due to the cleaning of the roads
9,El mito de los incendios y la recalificación del suelo: la Ley de Montes la prohíbe durante 30 años,"Desde 2015, las Comunidades Autónomas pueden aprobar el cambio de uso si hay “razones imperiosas de interés público”, pero no hay precedentes",Der Mythos von Bränden und die Neuqualifizierung des Bodens: Das Gesetz von Montes verbietet es 30 Jahre lang,"Seit 2015 können die Autonomen Gemeinschaften eine Änderung der Verwendung genehmigen, wenn zwingende Gründe des öffentlichen Interesses vorliegen [44].",The Myth of Fires and Requalification of the Ground: The Law of Mounts prohibits it for 30 years,"Since 2015, the Autonomous Communities can approve the change of use if there are “mandatory reasons of public interest”, but there are no precedents"
10,Una empresa provoca un incendio en León mientras cortaba árboles sin permiso en época de alerta máxima,El fuego de Curueño requirió que una brigada se desplazara desde zonas más complicadas y perdiera varias horas de trabajo,"Ein Unternehmen verursacht einen Brand in León, während er Bäume ohne Erlaubnis schneidete, während die höchste Alarmstufe war.","Das Feuer von Curueño erforderte, dass eine Brigade aus schwierigeren Gebieten zog und mehrere Stunden Arbeit verlor.",A company causes a fire in León while cutting trees without permission at peak alert time,Curueño's fire required a brigade to move from more complicated areas and lose several hours of work
11,"“Hola, mamá, esto va demasiado lejos”: Kick, la plataforma que permite el riesgo de morir por unos ‘likes’",La muerte del francés Raphaël Graven pone de relieve la permisividad de algunas compañías en busca de cautivar a una audiencia que jalea a ‘streamers’ para que cometan locuras o ilegalidades,"Hallo, Mom, das geht zu weit.","Der Tod des Franzosen Raphaël Graven unterstreicht die Freimut einiger Unternehmen, um ein Publikum zu locken, das die Verrücktheit oder Illegalität von  unsauberen Streaming-Spielern schmeichelt.","“Hello, Mom, this goes too far”: Kick, the platform that allows the risk of dying for ‘likes’",The death of Frenchman Raphaël Graven highlights the permissiveness of some companies in seeking to captivate an audience that jams streamers to commit madness or illegalities
12,De los banquetes romanos a la opulencia de Warhol: la fiesta no se acaba nunca,La investigadora Carmen Morán explora en un ensayo el poder subversivo y catártico de las celebraciones y repasa las más memorables de la historia,Von den römischen Festen zu Warhols Opulenz: Das Fest ist nie vorbei,Die Forscherin Carmen Morán erkundet in einem Essay die subversive und kathartische Macht der Feiern und schaut sich die unvergesslichsten der Geschichte an,From the Roman banquets to the opulence of Warhol: the feast never ends,Researcher Carmen Morán explores in an essay the subversive and cathartic power of celebrations and reviews the most memorable in history
13,"La taberna gaditana de Romero: “No vendo un pescado de 10 euros a 30, lo vendo a 15. Gano menos, pero fidelizo al cliente”","Rafael Romero y su yerno, Raúl Morales, regentan una sencilla casa de comidas a un paso de la playa de la Victoria, en Cádiz","Die gaditanische Taverne von Romero: Ich verkaufe keinen Fisch von 10 Euro bis 30, ich verkaufe ihn an 15. Ich verdiene weniger, aber treu an den Kunden.","Rafael Romero und sein Schwiegersohn, Raúl Morales, regenerieren ein einfaches Essenshaus nur einen kurzen Spaziergang vom Strand von La Victoria in Cádiz","Romero’s Gaditan tavern: “I don’t sell a fish from 10 euros to 30 euros, I sell it to 15. I earn less, but I trust the customer”","Rafael Romero and his son-in-law, Raúl Morales, run a simple food house just a step away from Victoria beach in Cadiz"
