,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Deutschland stoppt Waffenlieferungen nach Israel teilweise,"Bundeskanzler Friedrich Merz kündigt einen Lieferstopp von Rüstungsgütern an, die von Israel im Gazastreifen eingesetzt werden könnten. Zuvor beschloss das israelische Sicherheitskabinett die Einnahme von Gaza-Stadt.",Germany partially stops arms shipments to Israel,"Federal Chancellor Friedrich Merz announces a stop to the supply of arms that could be used by Israel in the Gaza Strip. Previously, the Israeli security cabinet decided to seize Gaza City.","德国停止向以色列运送武器,部分停止向以色列运送武器","德国总理弗里德里希·默尔兹宣布禁止以色列在加沙地带使用军火. 此前,以色列安全网决定占领加沙城."
1,Deutsche Sprache: Weimer ruft zum Gender-Verzicht auf,"""Binnen-I"", Unterstriche, Sternchen: Sonderzeichen für geschlechtergerechte Sprache sorgen in Deutschland immer wieder für hitzige Diskussionen. Der Kulturstaatsminister ist kein Freund des Genderns.",German language: Weimer calls for a gender renunciation,"""Binnen-I"", underscores, asterisks: Special characters for gender-appropriate language provide in Germany time and again for heated discussions. The Minister of Culture is not a friend of gender.",德语:瓦巴号号召德文教区教区教区教区教区教科书,"""Bern -I"",底线,星号:性别平等的语言特殊标志在德国经常引起激烈的讨论. 文化部部长不喜欢变革."
2,"Armenien und Aserbaidschan: Trump lädt zu ""Friedensgipfel""","Der US-Präsident möchte in Washington den Friedenschluss zwischen zwei lange verfeindeten Ländern präsentieren: Armenien und Aserbaidschan. Ein ""historischer"" Dreiergipfel im Weißen Haus soll den Neuanfang einleiten.","Armenia and Azerbaijan: Trump invites to ""Peace Summit""","The US President wants to present in Washington the peace agreement between two long-enemy countries: Armenia and Azerbaijan. A ""historic"" tripartite summit in the White House is to begin the new beginning.",亚美尼亚和阿塞拜疆: 特朗普正在参加和平峰会.,"美国总统想在华盛顿宣布两个长期敌对国家:亚美尼亚和阿塞拜疆. 白宫的""历史性三方会议""将开始新的开始."
3,Trump: Putin muss Selenskyj nicht vor Gipfel treffen,US-Präsident Trump sieht vor seinem Gipfel mit Kremlchef Putin ein Treffen mit Wolodymyr Selenskyj nicht als notwendig an. Der ukrainische Präsident pocht auf eine stärkere Mitsprache Europas bei Friedensgesprächen.,Trump: Putin doesn't have to meet Selenskyy before summit,US President Trump does not see a meeting with Volodymyr Selenskyj as necessary before his summit with Kremlin chief Putin. Ukrainian President calls for a stronger voice in Europe in peace talks.,特朗普: 普京不必在峰会前见到塞伦斯基,"美国总统特朗普在与克里姆林宫领导人普京峰会之前,并不认为有必要与普京举行会晤. 乌克兰总统要求欧洲在和平会谈中更有力地发言."
4,News kompakt: Israel will Gaza-Stadt einnehmen,Israel will die Terrororganisation Hamas endgültig besiegen. Die USA verdoppeln das Kopfgeld auf Venezuelas Staatschef Maduro. Das Wichtigste in Kürze.,News compact: Israel wants to take over Gaza City,Israel wants to finally defeat the terrorist organization Hamas. The US doubles the bounty on Venezuela's head of state Maduro. The most important thing in brief.,新闻报道:以色列想占领加沙城,"以色列想最终打败哈马斯恐怖组织. 美国要加倍悬赏委内瑞拉的领导人马德罗. 最重要的是,即将到来."
5,UN-Plastikgipfel: Mehr Plastikproduktion trotz mehr Müll?,"Jedes Jahr wird so viel Kunststoff produziert, dass es unmöglich ist, diese Menge zu verwalten oder zu recyceln. Das schadet dem Klima, der Umwelt und unserer Gesundheit. Aber warum gibt es so viel neues Plastik?",UN Plastics Summit: More plastic production despite more garbage?,"Every year, so much plastic is produced that it is impossible to manage or recycle this amount, which harms the climate, the environment and our health. But why is there so much new plastic?","联合国裁军峰会,尽管垃圾更多,但要增加塑料生产吗?","每年生产的塑料数量太多,以至于无法管理或回收这些物质. 这对气候,环境和健康造成不利影响. 但是,为什么会有这么多新的塑料呢?"
6,Zähe Aufarbeitung von Ugandas Müll-Katastrophe,Vor einem Jahr begrub die größte Mülldeponie des Landes mindestens 34 Menschen unter sich. Bis heute fehlt es an Entschädigungen und Sicherheitsmaßnahmen. Auch um einen neuen Standort gibt es Streit.,Tough reprocessing of Uganda's garbage disaster,"A year ago, the country's largest landfill site buried at least 34 people. To date, there is a lack of compensation and security measures. There is also a dispute over a new location.",乌干达的垃圾灾难的简短处理,"一年前,该国最大的垃圾倾倒点至少埋葬了34人. 迄今为止,没有补偿和安保措施. 新的地点也有争议."
7,Polens neuer Präsident: Senkrechtstarter Karol Nawrocki,"Der neue polnische Präsident hat schnell deutlich gemacht, wie seine politische Agenda aussieht: Er will der Regierung Donald Tusk das Leben schwer machen und der PiS wieder an die Macht verhelfen.",Poland's new president: vertical starter Karol Nawrocki,The new Polish president quickly made clear what his political agenda looks like: he wants to make life difficult for the Donald Tusk government and help the PiS regain power.,波兰新任总统: 垂直起始人卡洛·纳罗基,"波兰新总统很快地明确了他的政治议程: 他想让唐纳德·塔斯克政府的生活更艰难,并恢复PIS的掌权."
8,USA: Experten besorgt über Kürzungen bei mRNA-Forschung,"Donald Trumps Gesundheitsminister Kennedy hat verkündet, Forschung an mRNA-Impfstoffen werde von der US-Regierung nicht mehr unterstützt. Das erhöht die Anfälligkeit bei zukünftigen Pandemien, sagen Experten.",USA: Experts concerned about cuts in mRNA research,"Donald Trump's Minister of Health Kennedy has announced that research on mRNA vaccines will no longer be supported by the US government, which increases susceptibility to future pandemics, say experts.",美国:专家担心MRNA研究的削减,"唐纳德·特朗普的卫生部长肯尼迪宣布,美国政府不再支持MRNA疫苗的研究. 这增加了未来流行病的脆弱性,说专家认为."
9,Bosnien: Milorad Dodik kündigt Referendum an,Die Zentrale Wahlkommission Bosnien und Herzegowinas hat dem Präsidenten der Republika Srpska das Mandat entzogen. Nun dürfte es zu Neuwahlen kommen. Dodik dagegen setzt auf ein Referendum.,Bosnia: Milorad Dodik announces referendum,"The Central Electoral Commission of Bosnia and Herzegovina has withdrawn its mandate from the President of Republika Srpska. New elections are now likely to take place. Dodik, on the other hand, relies on a referendum.",波斯尼亚: 米洛拉德·多迪克宣布公投,"波斯尼亚和黑塞哥维那中央选举委员会已经解除了斯普斯卡共和国总统的任务. 现在,选举很可能要重新选举. 与此相反,多迪克支持全民公决."
10,Soldatenfamilien spüren das Schweigen der Juntas im Sahel,"Der Anti-Terror-Kampf im Sahel kostet viele Menschen das Leben. Die Militärregierungen setzen auf Vertuschung. Die DW hat mit Familien im Niger gesprochen, die über soziale Netzwerke vom Tod ihrer Angehörigen erfuhren.",Soldiers' families feel the silence of the juntas in Sahel,The anti-terrorist struggle in the Sahel cost many lives. Military governments rely on cover-up. The DW talked to families in Niger who learned about social networks about the death of their relatives.,士兵家族感受到军政府在萨赫勒的沉默,在萨赫勒的反恐斗争牺牲了很多人的生命. 军事政府希望掩盖真相. DW在尼日尔和家人讨论了尼日尔社会网络的死讯.
