,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Russland/Ukraine: Die Bedeutung des Donbass,Beim Gipfel mit US-Präsident Trump in Alaska nannte Wladimir Putin wieder einmal die volle Kontrolle über den Donbass als zentrale Bedingung für eine Beendigung des Krieges. Warum ist diese Region so wichtig?,Russia/Ukraine: The importance of Donbas,"At the summit with US President Trump in Alaska, Vladimir Putin once again called full control of the Donbass as a central condition for ending the war. Why is this region so important?",俄罗斯/乌克兰:顿巴斯的重要性,"在与美国总统特朗普在阿拉斯加峰会上,弗拉基米尔·普京再次指出 全面控制顿巴斯是结束战争的关键条件. 为什么这个地区如此重要?"
1,Was die Ukraine über das Treffen in Washington denkt,"Die Ukraine bewertet das Treffen zwischen Selenskyj und Trump positiv. Sicherheitsfragen und internationale Unterstützung bleiben zentrale Themen. Beobachter betonen aber, dass konkrete Ergebnisse noch immer fehlen.",What Ukraine thinks about the meeting in Washington,"Ukraine is positive about the meeting between Selenskyj and Trump. Security issues and international support remain central issues. Observers stress, however, that concrete results are still lacking.",乌克兰对华盛顿会议的看法,"乌克兰人评估了塞伦斯基和特朗普的会议. 安全问题和国际支持仍然是关键问题. 但观察者强调,具体结果仍然不足."
2,Nach dem Ukraine-Gipfel in den USA - was kann Deutschland beitragen?,Ein Treffen zwischen Wladimir Putin und Wolodymyr Selenskyj ist anvisiert. Doch Streitpunkte zwischen den USA und der EU bleiben. Wie könnte sich Deutschland engagieren?,After the Ukraine summit in the USA - what can Germany contribute?,"A meeting between Vladimir Putin and Wolodymyr Selenskyy is planned, but disputes between the US and the EU remain. How could Germany get involved?",乌克兰在美国峰会之后 - 德国能做出什么贡献?,弗拉基米尔·普京和沃罗迪米尔·塞尔伦斯基的一次会议已经举行了. 但美国和欧盟之间仍然存在争议. 德国怎么可能参与呢?
3,Nach Alaska-Treffen: China bleibt Putins Verbündeter,"Während Europa und die USA große Anstrengungen für den Frieden in der Ukraine unternehmen, beobachtet China lediglich die Verhandlungstaktik von US-Präsident Trump. Peking werde Moskau weiter unterstützen, so Experten.",After Alaska meeting: China remains Putin's ally,"While Europe and the US are making great efforts for peace in Ukraine, China is only observing the negotiating tactics of US President Trump. Beijing will continue to support Moscow, experts say.","在阿拉斯加会议之后,中国依然是普京的盟友","当欧洲和美国为乌克兰的和平做出巨大努力时,中国只是观察着美国总统特朗普的谈判策略. 北京将继续支持莫斯科,专家说."
4,Israelische Behörde genehmigt Siedlungen im Westjordanland,Eine israelische Behörde erlaubt neue völkerrechtswidrige Siedlungen im Westjordanland. Zuvor billigte Israels Verteidigungsminister Katz die Offensive auf Gaza-Stadt - trotz mutmaßlicher Hamas-Zustimmung zu Waffenruhe.,Israeli Authority approves settlements in the West Bank,"An Israeli authority allows new settlements in the West Bank against international law. Previously, Israel's Defense Minister Katz approved the offensive on Gaza City, despite Hamas' alleged approval of a ceasefire.",以色列权力机构批准在西岸的定居点,"以色列当局允许在西岸建立国际不法定居点. 此前,尽管哈马斯同意停火,但以色列国防部长凯匹特已经批准对加沙城发动进攻."
5,Afghanistan: Mindestens 70 Tote bei Busunglück,Auf dem Weg von der iranischen Grenze nach Kabul ist ein überfüllter Bus mit einem Benzinlaster kollidiert. Mindestens 70 Menschen starben. Die Opfer waren kürzlich aus dem Iran abgeschobene Afghanen.,Afghanistan: At least 70 people killed in a bus accident,"On the way from the Iranian border to Kabul, an overcrowded bus collides with a petrol truck. At least 70 people died. Victims were recently deported from Iran Afghans.",阿富汗:至少70人死于巴士事故,"在从伊朗边境到喀布尔的路上,一辆满载汽油的巴士被撞毁,至少70人死亡. 受害者最近从伊朗流离失所."
6,Kolumbien: Hausarrest für Ex-Präsident Uribe aufgehoben,Anfang August wurde Álvaro Uribe in Kolumbien unter anderem wegen Zeugenbestechung verurteilt. Der Ex-Präsident sollte sofort in Hausarrest - obwohl das Urteil noch nicht rechtskräftig war.,Colombia: House arrest for former President Uribe has been lifted,"At the beginning of August, Álvaro Uribe was sentenced in Colombia, among other things, for witness bribery. The ex-president was to be put in house arrest immediately - although the sentence was not yet final.",哥伦比亚:被禁足于前总统乌里韦,"8月初,哥伦比亚的奥瓦罗·乌里韦被判有罪,除其他外,罪名是证人受审. 前任总统应立即被软禁,尽管判决尚未确定."
7,Fluminense-Torwart Fabio bricht Weltrekord,"Der 44 Jahre alte brasilianische Torhüter Fabio ist nun alleiniger Rekordhalter, was die Anzahl der Profi-Spiele angeht. Der beste deutsche Schlussmann in dieser Kategorie wird ihn wohl nicht mehr einholen.",Fluminense Gatekeeper Fabio breaks world record,The 44-year-old Brazilian goalkeeper Fabio is now the only record holder in terms of the number of professional games. The best German finisher in this category will probably not catch up with him anymore.,法比奥流雷守门员打破世界纪录,44岁的巴西守门员法比奥现已是业余的纪录. 德国最优秀的决赛者可能不会追到他了.
8,USA: Weißes Haus startet TikTok-Account trotz Verbotsdebatte,"Ein Gesetz in den USA fordert den Verkauf der Videoplattform TikTok - sonst droht ein Verbot. 
Doch mehrmals gewährte Präsident Trump eine Gnadenfrist. Und jetzt hat die Regierung einen eigenen Account.",USA: White House launches TikTok account despite ban debate,"A law in the U.S. demands the sale of the video platform TikTok - otherwise there is a ban. However, several times President Trump granted a grace period. And now the government has its own account.","美国:白宫在讨论禁令的情况下,启动了Tiktok账户","在美国,一项法案要求卖出TikTok视频平台,否则会被禁止. 但特朗普总统多次给予他宽限. 现在政府拥有自己的账户."
9,News kompakt: Militärs beraten über Ukraine-Abkommen,Nach dem Gipfel bei US-Präsident Donald Trump zur Ukraine geht es nun um Sicherheitsgarantien. Das Weiße Haus hat jetzt einen TikTok-Account. Das Wichtigste in Kürze.,News compact: Military discusses Ukraine agreements,"After the summit with US President Donald Trump on Ukraine, it is now about security guarantees. The White House now has a TikTok account. The most important thing in brief.",最新消息:军事咨询乌克兰协议,"经过美国总统唐纳德·特朗普到乌克兰的峰会后,我们正在讨论安全保证问题. 白宫现在有一个Tiktok账户. 最重要的事情即将发生."
10,Aushungern gilt als Kriegsverbrechen - doch können die Verantwortlichen dafür auch bestraft werden?,"Nahrungsmittel-Blockaden werden zunehmend als Kriegsmittel eingesetzt - laut Menschenrechtlern etwa im Sudan und im Gazastreifen. Völkerrechtlich kann dies zwar geahndet werden, doch die Praxis gestaltet sich schwierig.",Starvation is considered war crimes - but can those responsible be punished for it?,"Food blockades are increasingly being used as a means of war - according to human rights activists in Sudan and the Gaza Strip. This can be punished under international law, but practice is difficult.","饥饿被视为战争罪,但责任人可以受到惩罚吗?","食品区日益被用作战争工具 - - 人权人士称苏丹和加沙地带. 国际法上说,这可以被禁止,但实际情况却很困难."
11,Seltene Erden: Warum Recycling in Deutschland kaum vorankommt,Die EU will für Metalle der Seltenen Erden nicht mehr vom Import aus China abhängig sein. Doch trotz wachsender Nachfrage bleibt das Recycling Seltener Erden in Deutschland hinter den Erwartungen zurück. Woran liegt das?,Rare Earths: Why recycling is hardly progressing in Germany,"The EU no longer wants to be dependent on imports from China for rare earth metals. However, despite growing demand, the recycling of rare earths in Germany falls short of expectations.",稀有土壤:为什么德国的回收工作没有进展?,"欧盟不再依赖从中国进口的稀土金属了. 但是,尽管需求不断增加,德国的稀土回收量仍落后于预期. 这有什么意义?"
12,Deutschland und Japan bauen militärische Zusammenarbeit aus,"Deutschlands Außenminister Johann Wadephul spricht in Japan über Sicherheit und über China. Berlin will gemeinsam mit Tokio mehr Verantwortung übernehmen - diplomatisch, wirtschaftlich und militärisch.",Germany and Japan develop military cooperation,"Germany's Foreign Minister Johann Wadephul talks about security and China in Japan. Together with Tokyo, Berlin wants to assume more responsibility - diplomatically, economically and militarily.",德国和日本正在建立军事合作,"德国外交部长约翰·韦德福在日本谈论安全和中国. 柏林想与东京共同承担更多的责任 - 外交,经济和军事."
13,Rassismus im Stadion - wenn Fußballer beleidigt werden,"Mehrere Vorfälle in der ersten Runde des DFB-Pokals zeigen: Trotz aller Bemühungen von Fußballbund, Vereinen und Fangruppen lässt sich Rassismus offenbar nicht komplett aus den deutschen Stadien verbannen.",Racism in the stadium - if footballers are insulted,"Several incidents in the first round of the DFB Cup show: Despite all the efforts of football federations, clubs and fan groups, racism cannot be completely banished from the German stadiums.",体育场的种族主义行为 当足球运动员受到侮辱时,"DFB杯第一回合的几起事件表明 尽管足球联盟,俱乐部和粉丝们作出了各种努力,但种族主义并没有完全被排除在德国的体育场外."
14,Eskalation in Serbien: Schlägertrupps und Verhaftungen,"Seit Tagen kommt es in Serbien zu immer härteren Auseinandersetzungen zwischen Polizei und Demonstranten, die seit neun Monaten gegen die Regierung protestieren. Nun will Präsident Aleksandar Vucic hart durchgreifen.",Escalation in Serbia: bat squads and arrests,"For days now, there have been increasingly severe clashes between the police and demonstrators in Serbia, who have been protesting against the government for nine months. President Aleksandar Vucic now wants to go through hard.",塞尔维亚升级了: 暴徒部队和逮捕行动,塞尔维亚的警察和示威者之间的争执已经持续了九个月 抗议政府. 现在总统阿列克山达尔·维奇正在竭力地进行.
15,Polen: Affäre um Corona-Hilfen der EU? Tusk unter Druck,"Der EU-Wiederaufbaufonds ist das Flaggschiffprojekt der Mitte-Links-Koalition von Donald Tusk. Jetzt wirft die rechtskonservative Opposition der Regierung vor, einen Teil der Gelder zweckentfremdet vergeben zu haben.",Poland: EU Corona aid affair? Tusk under pressure,"The EU Reconstruction Fund is the flagship project of the centre-left coalition of Donald Tusk. Now, the right-wing conservative opposition accuses the government of having allocated some of the funds for purposes alienated from its purpose.",波兰:欧盟的科罗娜援助事件有外遇吗? Tusk被施压了?,"欧盟重建基金是唐纳德·塔斯克的中左翼联盟旗舰项目. 现在,右翼保守党指责政府不给部分资金."
16,Wie beeinflussen NS-Menschenversuche die Medizin bis heute?,Eine neue Datenbank erzählt die Leidensgeschichten von Opfern der medizinischen Zwangsforschung in der NS-Zeit. Welche Rolle spielen die damals gesammelten Präparate und Ergebnisse in der modernen Medizin und Forschung?,How do NS human experiments influence medicine to this day?,A new database tells the suffering stories of victims of forced medical research in the Nazi era. What role do the products and results collected at that time play in modern medicine and research?,NS人类实验对药物有何影响?,新的数据库描述了NS时代医疗研究的受害者的患病史. 当时收集的化合物和结果在现代医学和研究中有什么作用?
17,Estland: Keine Angst vor Russland,"Trotz Warnungen Finnlands, Russland könnte irgendwann in Skandinavien und im Baltikum einmarschieren, wollen die Menschen in Estland nicht in Angst leben - auch wenn sie sich vorbereiten. Eindrücke von der Insel Hiiumaa.",Estonia: Don't be afraid of Russia,"Despite warnings from Finland, Russia could eventually invade Scandinavia and the Baltics, the people in Estonia do not want to live in fear - even if they are preparing. Impressions from the island of Hiiumaa.",爱沙尼亚: 不要害怕俄罗斯,"尽管芬兰人警告说俄罗斯最终可能入侵斯堪的纳维亚和巴尔提卡乌斯, 但爱沙尼亚的人民却不愿活在恐惧之中,即使他们准备就绪了. 从喜希阿岛来的印象."
18,"Beirut: Hamra - Herzschlag einer Stadt, Spiegel eines Landes","Wenn im September in Hamra das Kino Le Colisée wieder seine Türen öffnet, geht es um mehr als um Filme: Es ist ein Zeichen dafür, wie der Libanon zwischen Krise und Hoffnung immer wieder neu zu leben beginnt.","Beirut: Hamra - heartbeat of a city, mirror of a country","When the cinema Le Colisée opens its doors again in Hamra in September, it's more than about films: it's a sign of how Lebanon is constantly beginning to live anew between crisis and hope.",贝鲁特 贝鲁特,"在哈姆拉,当电影院重新开幕时,这不仅仅是电影,而是黎巴嫩在危机和希望之间开始重新生活."
