,title-en,content-en,title-de,content-de,title-es,content-es,title-fr,content-fr,title-zh,content-zh
0,Britain is a global gaming superpower,The UK helped shape the global video-games industry: can it stay in the game?,Großbritannien ist eine globale Gaming-Supermacht,Das Vereinigte Königreich hat die globale Videospielindustrie mitgeprägt: Kann es im Spiel bleiben?,Gran Bretaña es una superpotencia global de juegos,El Reino Unido ayudó a dar forma a la industria mundial de videojuegos: ¿puede permanecer en el juego?,La Grande-Bretagne est une superpuissance mondiale du jeu,Le Royaume-Uni a aidé à façonner l'industrie mondiale des jeux vidéo: peut-il rester dans le jeu?,英国是一个全球博彩超级大国,英国帮助塑造了全球电子游戏产业:它能留在游戏中吗?
1,The four years when old New York died and a new one was born,Some of America’s most outlandish politicians also made their debuts in 1986-89,"Die vier Jahre, als der alte New York starb und ein neues geboren wurde",Einige amerikanische Politiker feierten auch 1986-89 ihre Debüts.,Los cuatro años en que murió la vieja Nueva York y nació una nueva,Algunos de los políticos más extravagantes de Estados Unidos también hicieron su debut en 1986-89,Les quatre ans où l'ancien New York est mort et un nouveau est né,Certains des hommes politiques les plus étrangers ont également fait leurs débuts en 1986-1989.,"纽约四岁去世,新出生的四年",美国一些最外国政客也在1986-1989年首次出场。
2,Next top model: GPT-5 and its AI rivals,Also on the daily podcast: why Japan has investing fever and a revealing look at America’s indie wrestling leagues,Nächstes Top-Modell: GPT-5 und seine KI-Konkurrenten,Auch auf dem täglichen Podcast: Warum Japan Fieber investiert hat und einen aufschlussreichen Blick auf Amerikas Indie-Wrestling-Ligen,Siguiente modelo superior: GPT-5 y sus rivales de IA,También en el podcast diario: por qué Japón ha invertido fiebre y una mirada reveladora a las ligas de lucha libre indie de Estados Unidos,Prochain top model : GPT-5 et ses rivaux AI,Aussi sur le podcast quotidien: pourquoi le Japon a investi la fièvre et un regard révélateur sur les ligues de lutte indie Americas,下一个顶顶级模型:GPT-5及其AI对手,"也出现在每日播客上:为什么日本投资发烧,"
3,"The US in brief: Bowser keeps calm, Democrats rage","Our daily political update, featuring the stories that matter","Die USA in Kürze: Bowser bleibt ruhig, Demokraten toben","Unser tägliches politisches Update mit den Geschichten, die wichtig sind","Estados Unidos en resumen: Bowser mantiene la calma, los demócratas rabia","Nuestra actualización política diaria, con las historias que importan","Les Etats-Unis en bref : Bowser se calme, les démocrates font rage","Notre mise à jour politique quotidienne, mettant en vedette les histoires qui comptent","简言之,美国:鲍泽保持平静,民主党的愤怒","我们每天的政治最新情况,特别报道重要的故事"
4,Wax off: Has McKinsey lost its lustre?,A handpicked article read aloud from the latest issue of The Economist,Wax off: Hat McKinsey seinen Glanz verloren?,Ein handverlesener Artikel aus der aktuellen Ausgabe von The Economist,¿Mckinsey ha perdido su brillo?,Un artículo escogido a mano leído en voz alta del último número de The Economist,McKinsey a-t-il perdu son éclat ?,Un article tiré à la main a été lu à haute voix dans le dernier numéro de The Economist,McKinsey失去了它的性欲吗?,"《经济学家》最新一期《经济学家》的一篇文章,"
5,Why Donald Trump is wrong to take over the DC police,The emergency he cites is over-hyped,"Warum Donald Trump falsch ist, die DC-Polizei zu übernehmen",Der von ihm zitierte Notfall ist überfüllt.,Por qué Donald Trump se equivoca al hacerse cargo de la policía de DC,La emergencia que él cita está sobre-hiperizada,Pourquoi Donald Trump a tort de prendre le contrôle de la police de DC,L'urgence qu'il cite est exagérée.,为什么唐纳德·特朗普 抓了华盛顿警方是错的,他所引用的紧急事件 已经过头了
6,How AI could create the first one-person unicorn,The technology is allowing entrepreneurs to start and grow businesses on their own,Wie KI das erste Einhorn mit einer Person erschaffen konnte,"Die Technologie ermöglicht es Unternehmern, eigene Unternehmen zu gründen und zu wachsen",Cómo IA podría crear el primer unicornio de una sola persona,La tecnología está permitiendo a los empresarios iniciar y hacer crecer sus negocios por su cuenta,Comment l'IA pourrait créer la première licorne d'une personne,La technologie permet aux entrepreneurs de créer et de développer des entreprises par eux-mêmes.,人工智能如何创造第一个单人独角兽,该技术使企业家能够自己创办和发展企业
7,The Russian-run town squatting on NATO territory,Could Vladimir Putin exploit the odd legal status of an Arctic archipelago?,"Die russisch geführte Stadt, die auf dem NATO-Territorium hockt",Könnte Wladimir Putin den seltsamen Rechtsstatus eines arktischen Archipels ausnutzen?,La ciudad dirigida por Rusia se agacha en territorio de la OTAN,¿Podría Vladimir Putin explotar el extraño estatus legal de un archipiélago ártico?,La ville russe squatte sur le territoire de l'OTAN,Vladimir Poutine pourrait-il exploiter le statut juridique étrange d'un archipel arctique ?,俄罗斯经营的城镇在北约领土上的占领,弗拉基米尔·普京能否利用北极群岛的奇特法律地位?
8,"Cow’s milk, as well as Russian oil, fuels the US-India trade war",There is another liquid the two sides cannot agree on,Kuhmilch sowie russisches Öl tanken den US-Indien-Handelskrieg,"Es gibt noch eine Flüssigkeit, über die sich die beiden Seiten nicht einigen können.","La leche de vaca, así como el petróleo ruso, alimentan la guerra comercial entre Estados Unidos y la India",Hay otro líquido en el que las dos partes no pueden ponerse de acuerdo,"Le lait de vache, ainsi que le pétrole russe, alimentent la guerre commerciale entre les États-Unis et l'Inde",Il y a un autre liquide sur lequel les deux parties ne peuvent s'entendre.,奶牛的牛奶以及俄罗斯石油助长了美印贸易战争,还有另外一种 双方无法达成一致的液体
9,The War Room newsletter: Seven of the best books on the Pacific war,"Richard Cockett, a news editor, recommends seven books about the defeat of Japan in the second world war",The War Room newsletter: Sieben der besten Bücher über den Pazifikkrieg,"Richard Cockett, ein Nachrichtenredakteur, empfiehlt sieben Bücher über die Niederlage Japans im Zweiten Weltkrieg",The War Room newsletter: Siete de los mejores libros sobre la guerra del Pacífico,"Richard Cockett, editor de noticias, recomienda siete libros sobre la derrota de Japón en la segunda guerra mundial",The War Room newsletter: Sept des meilleurs livres sur la guerre du Pacifique,"Richard Cockett, rédacteur en chef de l'actualité, recommande sept livres sur la défaite du Japon pendant la seconde guerre mondiale",《战争室通讯:太平洋战争最好的七本书》,"Richard Cockett, 一位新闻编辑, 推荐七本关于日本在第二次世界大战中败败的书,"
10,Private chefs are spilling the culinary secrets of the super-rich,On social media they serve recipes with a side of celebrity intrigue,Privatköche verschütten die kulinarischen Geheimnisse der Superreichen,In sozialen Medien servieren sie Rezepte mit einer Seite von Promi-Intrigen,Los chefs privados están derramando los secretos culinarios de los súper ricos,En las redes sociales sirven recetas con un lado de la intriga de celebridades,Les chefs privés répandent les secrets culinaires des super-riches,"Sur les réseaux sociaux, ils servent des recettes avec un côté de célébrité intrigue",私人厨师泄露了超级富豪的烹饪秘密,"在社交媒体上,"
