,title-en,content-en,title-de,content-de,title-es,content-es,title-fr,content-fr,title-zh,content-zh
0,"Instead of sanctions, Donald Trump announces a summit with Russia","Despite the confusion, momentum for peace in Ukraine seems to be building",Statt Sanktionen kündigt Donald Trump einen Gipfel mit Russland an,Trotz der Verwirrung scheint die Dynamik für den Frieden in der Ukraine zu wachsen,"En lugar de sanciones, Donald Trump anuncia una cumbre con Rusia","A pesar de la confusión, el impulso hacia la paz en Ucrania parece estar aumentando","Au lieu de sanctions, Donald Trump annonce un sommet avec la Russie","Malgré la confusion, l'élan pour la paix en Ukraine semble être en train de se développer.","唐纳德·特朗普宣布与俄罗斯举行首脑会议,","尽管局势混乱,乌克兰的和平势头似乎正在形成。"
1,Donald Trump brokers a peace plan in the Caucasus,An American-backed deal between Armenia and Azerbaijan could weaken Russia,Donald Trump vermittelt einen Friedensplan im Kaukasus,Ein von den Amerikanern unterstütztes Abkommen zwischen Armenien und Aserbaidschan könnte Russland schwächen,Donald Trump negocia un plan de paz en el Cáucaso,Un acuerdo respaldado por los Estados Unidos entre Armenia y Azerbaiyán podría debilitar a Rusia,Donald Trump négocie un plan de paix dans le Caucase,Un accord soutenu par les Américains entre l'Arménie et l'Azerbaïdjan pourrait affaiblir la Russie,唐纳德·特朗普在高加索地区 促成一个和平计划,美国支持的亚美尼亚和阿塞拜疆之间的一项协议可能会削弱俄罗斯
2,The Memory Keepers,"As survivors die out, how do you keep the memories of Japan’s atomic apocalypse alive?",Die Gedächtnishüter,"Als Überlebende sterben, wie halten Sie die Erinnerungen an Japans Atomapokalypse am Leben?",Los guardianes de la memoria,"A medida que los sobrevivientes mueren, ¿cómo mantienes vivos los recuerdos del apocalipsis atómico japonés?",Les gardiens de la mémoire,"Comme les survivants meurent, comment gardez-vous en vie les souvenirs de l'apocalypse atomique du Japon ?",记忆保存者,"当幸存者死后,你如何将日本原子末日的记忆保存在生命中?"
3,Still want to be a London cabbie?,"Surprisingly, many do, and are prepared to study for the gruelling test to become one",Willst du immer noch ein Taxifahrer in London sein?,"Überraschenderweise tun und sind viele bereit, zu studieren, damit der zermürbende Test eins wird",¿Aún quieres ser taxista de Londres?,"Sorprendentemente, muchos lo hacen, y están preparados para estudiar para que la prueba agotadora se convierta en uno",Tu veux toujours être un taxi londonien ?,"Étonnamment, beaucoup d'entre eux le font et sont prêts à étudier pour que le test épuisant devienne un",还想当伦敦出租车司机吗?,"令人惊讶的是,许多人这样做,并准备研究如何使艰苦的试验成为一项试验。"
4,OpenAI’s latest step towards advanced artificial intelligence,"GPT-5 is an update, not a revolution. But revolution may still be on the way",OpenAI-neuster Schritt in Richtung fortgeschrittener künstlicher Intelligenz,"GPT-5 ist ein Update, keine Revolution. Aber Revolution kann immer noch auf dem Weg sein",El último paso de OpenAI hacia la inteligencia artificial avanzada,"El GPT-5 es una actualización, no una revolución.","La dernière étape de l'OpenAI, vers l'intelligence artificielle avancée","GPT-5 est une mise à jour, pas une révolution.",OpenAI 朝向先进的人工智能的最新一步,"GPT-5是最新消息,不是革命。 但革命可能还在路上。"
5,Cover Story newsletter: How we chose the cover image,,Cover Story Newsletter: Wie wir das Coverbild gewählt haben,,Portada del boletín: Cómo elegimos la imagen de la portada,,Cover Story newsletter: Comment nous avons choisi l'image de couverture,,封面新闻通讯:我们如何选择封面图像,
6,Treasure map: Trump finds gold in redistricting,"Our weekly podcast on democracy in America. This week, Donald Trump broke another norm when he told Texas Republicans to redraw their congressional maps to create more Republican seats. Democrats followed suit. We look at how this may tip the balance of power in Congress, and whether mid-decade redistricting is the new norm.",Schatzkarte: Trump findet Gold in der Neuverengung,"Unsere wöchentliche Podcast über Demokratie in Amerika. Diese Woche, Donald Trump brach eine andere Norm, als er Texas Republikaner sagte, ihre Kongress-Karten neu zu zeichnen, um mehr republikanische Sitze zu schaffen. Demokraten folgten Anzug. Wir betrachten, wie dies das Gleichgewicht der Macht im Kongress kippen kann, und ob Mitte-Dekade Neueinteilung ist die neue Norm.",Mapa del tesoro: Trump encuentra oro en la redistribución,"Esta semana, Donald Trump rompió otra norma cuando le dijo a los republicanos de Texas que redibujen sus mapas del Congreso para crear más escaños republicanos. Los demócratas siguieron el ejemplo. Observamos cómo esto puede inclinar el equilibrio de poder en el Congreso, y si la redistribución a mediados de decenio es la nueva norma.",Carte du trésor: Trump trouve de l'or dans le redistricting,"Notre podcast hebdomadaire sur la démocratie en Amérique. Cette semaine, Donald Trump a enfreint une autre norme quand il a dit aux Républicains du Texas de redessiner leurs cartes du Congrès pour créer plus de sièges républicains. Les démocrates ont suivi.",宝藏地图:特朗普在重新分区中找到黄金,"我们每周一次的美国民主播客。 本周,唐纳德·特朗普打破了另一个常规,他告诉得克萨斯共和党人重新绘制他们的国会地图,以创造更多的共和党席位。 民主党人也效仿了。 我们审视了这如何可能给国会的权力平衡起点作用,以及十年中期重新划分是否是新规范。"
7,Are nightmares bad for your health?,"If you have them often, the answer seems to be yes",Sind Albträume schlecht für Ihre Gesundheit?,"Wenn Sie sie oft haben, scheint die Antwort ja zu sein",¿Las pesadillas son malas para tu salud?,"Si los tienes a menudo, la respuesta parece ser sí.",Les cauchemars sont-ils mauvais pour votre santé ?,"Si vous les avez souvent, la réponse semble être oui.",恶梦对健康有害吗?,"如果你经常有,答案似乎是肯定的"
8,"Pascal Soriot, the pharma titan tiring of Britain",AstraZeneca’s boss shares Donald Trump’s mission to spread the cost of drug development,"Pascal Soriot, die Pharma-Titan ermüdend von Großbritannien","AstraZenecas Chef teilt Donald Trumps Mission, die Kosten der Drogenentwicklung zu verbreiten","Pascal Soriot, el titán farmacéutico cansado de Gran Bretaña",El jefe de AstraZeneca comparte la misión de Donald Trump de difundir el costo del desarrollo de drogas,"Pascal Soriot, le titan pharmaceutique de la Grande-Bretagne",Le patron d'AstraZeneca lance la mission de Donald Trump pour répartir le coût du développement de la drogue,"Pascal Soriot, 英国的药剂业巨人劳累","AstraZeneca的上司与Donald Trump共同承担任务, 分担毒品开发成本,"
9,Donald Trump’s tariffs on Brazil are more bark than bite,The Latin American giant may have avoided the worst—for now,Donald Trumps Zölle auf Brasilien sind mehr Rinde als Biss,Der lateinamerikanische Riese mag das Schlimmste vermieden haben — für jetzt,Los aranceles de Donald Trump sobre Brasil son más ladradores que mordiscos,"El gigante latinoamericano pudo haber evitado lo peor, por ahora",Les tarifs de Donald Trump sur le Brésil sont plus d'écorce que de morsure,Le géant latino-américain a peut-être évité le pire — pour l'instant,唐纳德·特朗普对巴西的关税比咬狗还多,拉丁美洲巨人可能已经避免了最坏的情况。
