,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Keine Entspannungssignale zwischen Iran und Israel,"Ungeachtet diplomatischer Appelle aus aller Welt gehen die wechselseitigen Angriffe weiter - beide Seiten melden Tote. Israel droht, Teheran werde ""brennen"", falls der Iran weiterhin Raketen abfeuert.",No relaxation signals between Iran and Israel,"Despite diplomatic appeals from all over the world, the mutual attacks continue - both sides report dead. Israel threatens that Tehran will ""burn"" if Iran continues to fire rockets.",伊朗和以色列之间没有放松的信号,"不管来自世界各地的外交呼吁如何,相互攻击仍在继续 - - 双方都报告死亡. 以色列威胁说如果伊朗继续发射导弹,德黑兰将""燃烧"""
1,Nach Graz-Gewalttat: Österreich will Waffenrecht verschärfen,Die tödlichen Schüsse an einer Schule in Graz bleiben nicht ohne Konsequenzen. Für den Erwerb von Waffen sollen in Österreich schon bald strengere Regeln gelten.,After Graz violence: Austria wants to strengthen arms law,The fatal shots at a school in Graz are not without consequences. The purchase of weapons in Austria will soon be subject to stricter rules.,"在葛拉兹犯罪之后,奥地利想加强武器法.",格拉兹学校的致命枪战不会没有后果. 奥地利很快会实施更严格的规则来购买武器.
2,"Meeresschutz: Deutschland lobt ""Aktionsplan von Nizza""","Die dritte UN-Ozeankonferenz hat einen Aktionsplan für einen verstärkten Schutz der Weltmeere erstellt. Bundesumweltminister Carsten Schneider zeigt sich zufrieden, Umweltschützer sind da etwas zurückhaltender.","Marine protection: Germany praises ""Nice Action Plan""","The third UN-Ocean Conference has drawn up an action plan for increased protection of the world's oceans. Federal Environment Minister Carsten Schneider is satisfied, environmentalists are somewhat more reluctant.","保护海洋,德国称赞""尼斯行动计划""","第三次联合国海洋会议制定了加强全球海洋保护的行动计划. 国安部长卡斯滕·施耐德表示满意,环保主义者更谨慎."
3,Bericht: Trump rudert bei Migrationspolitik ein wenig zurück,Der US-Agrarsektor warnte: Zu viele Abschiebungen könnten zu Arbeitskräftemangel in der Landwirtschaft führen. US-Präsident Donald Trump scheint das nun einzusehen.,Report: Trump rowing a little back in migration policy,The US agricultural sector warned: Too many deportations could lead to labour shortages in agriculture. US President Donald Trump now seems to see this.,特朗普在移民政策方面有点落后,"美国农业部门警告说,太多迁移可能导致农业劳动力短缺. 美国总统唐纳德·特朗普现在似乎同意了这一点."
4,News kompakt: Offenbar Tote bei Irans Angriffen auf Israel,Die militärische Auseinandersetzung zwischen Israel und dem Iran geht weiter. Die UN-Ozeankonferenz in Nizza hat sich auf ein Abschlussdokument geeinigt. Das Wichtigste in Kürze.,Compact news: Apparently dead in Iran's attacks on Israel,"The military dispute between Israel and Iran continues. The UN-Ocean Conference in Nice has agreed on a final document, the most important thing in the near future.",最新消息:伊朗袭击以色列时似乎已死亡,以色列和伊朗之间的军事冲突仍在继续. 尼斯联合国海洋会议已经商定要签署一份最后文件. 最重要的事情很快就要发生了.
5,Air-India-Absturz in Ahmedabad: Ein Flugschreiber gefunden,"Wie konnte es zum Boeing-787-Dreamliner Absturz in Indien kommen? Premierminister Narendra Modi ist zum Unglücksort gereist, um mit dem einzigen Überlebenden zu sprechen. Aufschluss sollen die Flugdatenschreiber geben.",Air India crash in Ahmedabad: A flight recorder found,How could the Boeing 787 Dreamliner crash in India occur? Prime Minister Narendra Modi travelled to the scene of the accident to talk to the only survivor.,在艾哈迈德巴德的印度航空坠毁事件 发现一本飞行记录仪,"印度波音787坠机事件怎么会发生? 总理纳伦德拉·莫迪正前往不幸地点与唯一幸存者对话. 关键是,飞行记录应该有记录."
6,So feiert Deutschland den ersten Veteranentag,Gut zehn Millionen Männer und Frauen haben bisher in der Bundeswehr gedient. Sie werden am 15. Juni 2025 erstmals mit einem nationalen Veteranentag gewürdigt. In Berlin gibt es ein großes Bürgerfest.,So Germany celebrates the first Veteran Day,A good ten million men and women have served in the Bundeswehr so far. They are honoured for the first time with a national veteran's day on 15 June 2025. There is a big citizens' party in Berlin.,德国就是这样庆祝第一次退伍军人节的,"一千万的男女在联邦军队服役过. 在2025年6月15日,他们首次获得退伍军人日. 在柏林,有一场盛大的公民节."
7,Bachs Musik gegen Krieg und Diskriminierung,Bach hat gerne Werke umgearbeitet. Moderne Arrangements seiner Musik beim Bachfest Leipzig sprechen von Unterdrückung und Krieg. Als Avatar ist Bach auch selbst zu Gast.,Bach's music against war and discrimination,Bach likes to rework works. Modern arrangements of his music at the Bachfest Leipzig speak of oppression and war. Bach is also a guest as Avatar.,巴赫的音乐对抗战争和歧视,"巴赫喜欢重写作品. 巴赫在河滨莱比锡的流行音乐中说到压迫和战争. 作为阿凡达,巴赫自己也是客人."
8,"Rabbiner Goldschmidt: ""Das war staatlicher Antisemitismus""","Europas Rabbiner wollten sich in Bosniens Hauptstadt Sarajevo treffen - aber die Konferenz wurde in letzter Minute abgesagt. ""Ein schockierender"" Vorgang"", sagt der Präsident der Europäischen Rabbinerkonferenz.","Rabbi Goldschmidt: ""This was state anti-Semitism""","Europe's rabbis wanted to meet in Sarajevo, the capital of Bosnia - but the conference was cancelled at the last minute. ""A shocking"" process,"" says the President of the European Rabbis' Conference.","Goldschmidt教士说 ""这是国家反犹太主义""","欧洲拉比人想在波斯尼亚首都萨拉热窝见面,但会议在最后一刻取消了. 欧洲拉比会议主席说,""令人震惊的""过程."
9,Welche Rolle spielen Digital Natives bei Tansanias Wahlen?,"Wachsende Frustration, steigendes politisches Bewusstsein und soziale Medien prägen den Wahlkampf in Tansania vor der Präsidentschaftswahl im Oktober. Und junge Menschen treten ins Rampenlicht - online und auf der Bühne.",What role do digital natives play in Tanzania's elections?,"Growing frustration, increasing political awareness and social media shape the election campaign in Tanzania before the presidential election in October. And young people are entering the spotlight - online and on stage.",数字准线在坦桑尼亚的选举中能起什么作用?,"在坦桑尼亚总统选举前的10月的总统选举中,人们越来越沮丧,政治意识的增加,社会媒体也越来越高涨. 年轻人在网络上和舞台上登台."
