,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Israel und Iran überziehen sich mit neuen Angriffen,"Im Konflikt zwischen den beiden Erzfeinden steigen die Opferzahlen. In israelischen Städten gibt es mehrere Tote bei nächtlichen Angriffswellen des Iran, während Israels Militär Ziele in Teheran bombardiert.",Israel and Iran overtake each other with new attacks,"In the conflict between the two archenemies, the number of victims is increasing. In Israeli cities, there are several deaths in the night waves of attack by Iran, while Israel's military targets are bombed in Tehran.",以色列和伊朗正在遭受新的攻击,"在两个大敌之间的冲突中,伤亡人数增加. 在以色列的城市里,数人在夜间袭击伊朗时死亡,而以色列军队在德黑兰轰炸目标."
1,Massaker in einem Dorf in Nigeria,Bewaffnete Angreifer haben in einem Dorf in Zentralnigeria offenbar mehr als 100 Menschen ermordet. Hat das Massaker mit dem Konflikt um die Landnutzung zwischen Hirten und Farmern zu tun?,Massacre in a village in Nigeria,Armed attackers apparently killed more than 100 people in a village in Central Nigeria. Does the massacre have to do with the conflict over land use between shepherds and farmers?,尼日利亚的一个村庄大屠杀,武装袭击者似乎在尼日利亚中部的一个村庄杀害了100多人. 与牧羊人和农民之间的土地使用冲突有关吗?
2,"Nationaler Veteranentag: Viel ""Anerkennung und Respekt""","Erstmals findet in Deutschland ein Veteranentag statt - für alle, die in der Bundeswehr ihren Dienst tun oder getan haben. Es ist vor allem ein Zeichen der Anerkennung.","National Veteran Day: A lot of ""recognition and respect""",For the first time in Germany there is a veteran's day - for all those who do or have done their service in the Bundeswehr. It is above all a sign of recognition.,"全国退伍军人日: 很多""识别和尊重""",第一次在德国举行退伍军人日 - - 为所有在联邦军队服役或服役的人 - - 提供纪念日. 这主要是为了表示承认.
3,Militärparade und Massenproteste zu Trumps Geburtstag,"Überall in den USA versammelten sich Demonstranten in Parks und auf Plätzen, um gegen Präsident Donald Trump zu protestieren. Der feierte derweil in Washington das Militär - und sich selbst.",Military parade and mass protests on Trump's birthday,"Throughout the United States, demonstrators gathered in parks and squares to protest President Donald Trump, who celebrated the military and himself in Washington.",特朗普生日的 军事游行和大规模抗议活动,"美国各地的示威者聚集在公园和广场上抗议唐纳德·特朗普总统. 与此同时,在华盛顿,他庆祝军队和他自己."
4,Tödliche Schüsse auf Politikerin in den USA: Täter flüchtig,"Eine demokratische Politikerin und ihr Mann werden erschossen, ein anderes Paar schwer verletzt. Sie sind nicht die einzigen Opfer in Minnesota. Eine Debatte über politisch motivierte Gewalt ist entfacht.",Deadly shots at U.S. politician: perpetrators fleeing,"A democratic politician and her husband are shot dead, another couple badly injured. They are not the only victims in Minnesota. A debate about politically motivated violence is sparked.",美国政界人物遇刺身亡: 罪犯逃逸,"一名民主党政治家和她丈夫被枪杀,另一对夫妇受到重伤. 他们并非明尼苏达州唯一受害者. 关于政治暴力的争论已经引发了讨论."
5,"40 Jahre ""Schengen"": Abkommen ""teilweise mit Füßen getreten""",Im luxemburgischen Schengen wird der runde Jahrestag des Abkommens über grenzenloses Reisen in Europa gefeiert. Der Bürgermeister der Gemeinde nutzt den Anlass für scharfe Kritik an wiedereingeführten Grenzkontrollen.,"40 years of ""Schengen"": Agreement ""partly trampled""",The Luxembourg Schengen is celebrating the round anniversary of the agreement on unlimited travel in Europe. The mayor of the municipality uses the occasion for sharp criticism of reintroduced border controls.,"40年来的""断腿"": ""断腿协议"" ""断腿协议""","在卢森堡区,欧洲无尽旅行协议周年纪念日将举行庆祝会. 市镇市长利用这一理由批评重新部署的边境管制."
6,Ungarn: Protz und Infrastruktur-Chaos bedrohen Orbans Macht,Ungarns Öffentlichkeit ist zunehmend empört über das Luxusleben im Umfeld Viktor Orbans und das Infrastruktur-Chaos im Land. Der Premier reagiert darauf mit hysterischer Propaganda. Rettet das seine Macht?,Hungary: Protz and infrastructure chaos threaten Orban's power,Hungary's public is increasingly outraged by the luxury life around Viktor Orban and the infrastructure chaos in the country. The Prime Minister reacts with hysterical propaganda. Does this save his power?,匈牙利:普罗兹和基础设施冲突威胁到欧城的权力,匈牙利的公众对维克多·欧班斯的奢侈生活和国内基础设施混乱日益不满. 首相对此的反应是夸大宣传. 这能拯救他的权力吗?
7,Kommt bald künstliches Blut aus dem Labor?,In vielen Ländern gibt es zu wenig Blutspenden. Künstliches Blut aus dem Labor könnte helfen. Aber die Entwicklung von universell einsetzbarem Blut ist komplex. Hier die vielversprechendsten Ansätze.,Is artificial blood coming out of the lab soon?,In many countries there are too few donations of blood. Artificial blood from the laboratory could help. But the development of universally usable blood is complex. Here are the most promising approaches.,化验室的人造血液很快会出来吗?,"在许多国家,献血的数量太少. 从实验室流出来的人工血液可能有所帮助,但是开发可供利用的血液是复杂的. 这是最有希望的方法."
8,Wie seltene Erden unsere Zukunft bestimmen,"Handys, Laptops und Autobatterien funktionieren nicht ohne Yttrium, Cer und andere spezielle Metalle. Eigentlich sind sie nicht selten, doch der Großteil stammt aus China. Die USA und EU wollen nun unabhängiger werden.",How Rare Earths Determine Our Future,"Mobile phones, laptops and car batteries do not work without Yttrium, Cer and other special metals. Actually, they are not rare, but most of them come from China. The US and EU now want to become more independent.",稀有的土地决定着我们的未来,"手机,笔记本,汽车电池,没有叶特里托姆,塞勒和其他特殊金属就无法运作. 事实上,它们并不罕见,但大部分都是来自中国. 现在美国和欧盟想要更加独立."
9,Kinderarbeit nimmt ab - doch nicht in Afrika,"Trotz der weltweiten Erfolge bei der Bekämpfung der Kinderarbeit ist die Zahl der minderjährigen Arbeitnehmer in Subsahara-Afrika am höchsten. Das Ziel, Kinderarbeit bis 2025 abzuschaffen, ist verfehlt, sagt UNICEF.",Child labour declines - but not in Africa,"Despite the global success in combating child labour, the number of underage workers in sub-Saharan Africa is highest. The goal of abolishing child labour by 2025 is missing, UNICEF says.","童工减少了 - - 不是在非洲,而是非洲.","尽管全世界在打击童工方面取得了重大成就,但在撒哈拉以南非洲,未成年工人人数仍然很高. 儿童基金会说,到2025年,取消童工的目标是徒劳无功."
