,title-de,content-de,title-en,content-en,title-zh,content-zh
0,Nach Israel-Iran-Krieg: Was Israelis von Netanjahu erwarten,Für sein Vorgehen gegen den Iran hat Ministerpräsident Benjamin Netanjahu in Israel viel Anerkennung erhalten. Doch seine politische Zukunft hängt weiter von Gaza ab.,After Israel-Iran War: What Israelis Expect from Netanyahu,"Prime Minister Benjamin Netanyahu has received much recognition in Israel for his action against Iran, but his political future remains dependent on Gaza.",在以色列伊兰战争之后:以色列对内塔尼亚胡的期望.,"总理本杰明·内塔尼亚胡对伊朗的报复,在以色列得到了极大的赞赏,但他的政治前途仍取决于加沙."
1,"Guterres verlangt ""politischen Mut"" für Gaza-Feuerpause",UN-Generalsekretär António Guterres will die Gunst der Stunde nutzen: Nach der Vereinbarung zwischen Israel und dem Iran müssten auch in dem abgeriegelten Palästinensergebiet die Waffen schweigen.,"Guterres demands ""political courage"" for Gaza fire break","UN Secretary-General António Guterres wants to take advantage of the opportunity: According to the agreement between Israel and Iran, weapons would also have to remain silent in the sealed Palestinian area.","更好的""政治勇气""要求加沙停火","联合国秘书长安特尼奥·布特雷斯想利用这个时刻:根据以色列与伊朗的协议,在被封锁的巴勒斯坦领土内,也必须保持武器的沉默."
2,Breite Zustimmung in Israel für den Angriff auf den Iran,Mit den Angriffen auf den Iran hat Israels Ministerpräsident Benjamin Netanjahu eine neue Front eröffnet. Könnte eine Schwächung des Iran jedoch auch zu einem Ende des Krieges in Gaza führen?,Wide support in Israel for the attack on Iran,"With the attacks on Iran, Israel's Prime Minister Benjamin Netanyahu has opened a new front, but could a weakening of Iran also lead to an end to the war in Gaza?",以色列广泛同意对伊朗发动攻击,以色列总理本杰明·内塔尼亚胡因袭击伊朗而开启了新的前线. 伊朗的削弱能导致加沙战争的结束吗?
3,Ukraine will Landminen-Abkommen verlassen,Mit dem Abkommen verzichten die 164 Vertragsstaaten auf den Einsatz von Landminen. Der ukrainische Präsident Selenskyj will diese wegen des Kriegs gegen Russland einsetzen. Damit ist die Ukraine nicht der erste Staat.,Ukraine wants to leave landmine agreements,With the agreement the 164 contracting states renounce the use of landmines. Ukrainian President Selenskyi wants to use them because of the war against Russia. Ukraine is therefore not the first state.,乌克兰想退出地雷协议,164个缔约国将放弃使用地雷. 乌克兰总统塞尔恩斯基 (Selenskyy) 打算利用地雷来对付俄罗斯. 这并不是乌克兰第一个国家.
4,SPD beschließt Vorbereitung eines AfD-Parteiverbots,Die SPD fordert ein Verbot der in Teilen rechtsextremen AfD und leitet vorbereitende Schritte ein. Die rechtlichen Hürden sind jedoch hoch - und der Koalitionspartner bleibt skeptisch.,SPD decides to prepare an AfD party ban,"The SPD calls for a ban on the far right AfD and initiates preparatory steps. However, the legal hurdles are high - and the coalition partner remains skeptical.",社民党决定准备AFD禁令,"社民党要求禁止在极右翼的AFD部分,并采取准备行动. 但法律上的障碍很大,联盟伙伴仍然持怀疑态度."
5,Ukrainischer Pilot stirbt bei Abwehr russischer Luftangriffe,Bei einem russischen Großangriff auf die Ukraine verteidigte ein F-16-Pilot den Luftraum. Seine letzte Entscheidung könnte vielen Menschen das Leben gerettet haben.,Ukrainian pilot dies in defense of Russian air raids,"In a major Russian attack on Ukraine, an F-16 pilot defended the airspace. His last decision could have saved many people's lives.",乌克兰飞行员死于俄罗斯空袭,"在一次俄罗斯对乌克兰的大规模攻击中,一个F16飞行员保护了整个领空. 他最后的决定可能救了很多人的生命."
6,Serbien: Massenproteste und Ausschreitungen in Belgrad,Zehntausende Menschen haben in der serbischen Hauptstadt friedlich gegen die Regierung von Präsident Vucic demonstriert. Im Anschluss gibt es gewaltsame Zusammenstöße.,Serbia: Mass protests and riots in Belgrade,"Tens of thousands of people have peacefully demonstrated against President Vucic's government in the Serbian capital, followed by violent clashes.",塞尔维亚:贝尔格莱德的大规模抗议和骚乱,数以万计的人在塞尔维亚首都和平抗争了维奇总统政府. 随后发生了暴力冲突.
7,Zehntausende bei Pride-Marsch in Budapest,Machtprobe an der Donau: Die LGBTQ-Community ignoriert die Warnungen von Ungarns Regierungschef Viktor Orban und versammelt sich zum Budapester CSD.,Tens of thousands at Pride-Marsch in Budapest,Test of power on the Danube: The LGBTQ community ignores the warnings of Hungary's head of government Viktor Orban and gathers to the Budapest CSD.,在布達佩斯的普萊德 -馬歇爾有成千上萬人在布達佩斯,"在多诺河上进行权力测试:LGBTQ -Community无视匈牙利领导人维克多·欧班的警告,并聚集在布达佩斯的CSD."
8,Wie tragen Erneuerbare zur Energiesicherheit bei?,Geopolitische Krisen - wie zuletzt der Konflikt zwischen Israel und dem Iran - gefährden Öl und Gasimporte. Bieten erneuerbare Energien in unsicheren Zeiten mehr Sicherheit?,How do renewables contribute to energy security?,Geopolitical crises - as last the conflict between Israel and Iran - endanger oil and gas imports. Do renewable energies offer more security in uncertain times?,创新性能源安全如何帮助?,"地缘政治危机 - - 如以色列和伊朗之间的冲突 - - 会危及石油和天然气的进口. 在不安全的时期,可再生能源能提供更多的安全保障吗?"
9,AfD gegen Steuergeld für Demokratie-Programme,Die Forderung der Alternative für Deutschland erinnert an einen umstrittenen Vorstoß der CDU im Bundestagswahlkampf. Was steckt dahinter? Und wie reagieren die anderen Parteien?,AfD against tax money for democracy programs,The demand of the alternative for Germany is reminiscent of a controversial advance of the CDU in the Bundestag election campaign. What is behind it? And how do the other parties react?,AfD反对民主项目的税款,德国的替代要求提醒德国人民党在德国议会选举中 发起了争议性的政变. 其他政党如何反应?
10,Bärbel Bas: Hoffnungsträgerin in der SPD,Die SPD hat ihre Parteispitze neu gewählt. Neben Lars Klingbeil ist nun Bärbel Bas im Amt. Ihr Werdegang ist eine sozialdemokratische Erfolgsgeschichte.,Bärbel Bas: Hope bearer in the SPD,"The SPD has re-elected its party leader. In addition to Lars Klingbeil, Bärbel Bas is now in office. Her career is a social democratic success story.",Bearbel Bas: SPD的希望者,社民党重新当选了党内领袖. 拉斯·克林布尔和拉尔斯·克林贝尔·巴兹贝是现任总统. 他们的当选是社会民主的成功历史.
11,Manosphere: Wie Frauenhass Klicks bringt,"Frauenfeindliche Influencer feiern Erfolge mit Millionenpublikum, propagieren toxische Männlichkeitsbilder und stellen Frauen als minderwertig dar. Was steckt hinter der ""Manosphere"" - und warum ist sie so gefährlich?",Manosphere: How Women's Hatred Brings Clicks,"Anti-women influencers celebrate successes with millions of people, propagate toxic images of masculinity and portray women as inferior. What is behind the ""manosphere"" - and why is it so dangerous?",{\fn黑体\fs22\bord1\shad0\3aHBE\4aH00\fscx67\fscy66\2cHFFFFFF\3cH808080}对女人的厌恶会产生怎样的反感 {\fnarial black\fs12\bord1\shad0\4aH00\fscx90\fscy110}Looks like hateing women's clicks brings.,"反对妇女的潜伏者在数以百万计的人的庆功宴上取得成功,宣传有毒的男性形象,并认为女性是低劣的. 为什么她如此危险?"
12,Proteste in Kenia: Regierung nimmt Pressefreiheit ins Visier,"Als am Mittwoch junge Kenianer gegen autoritäres Gebaren demonstrierten, wurde den Medien untersagt, live zu berichten. Für Beobachter ein gefährlicher Präzedenzfall - und zugleich ein Momentum für die Demokratie.",Protests in Kenya: Government Targets Freedom of the Press,"On Wednesday, when young Kenyans demonstrated against authoritarian behaviour, the media was forbidden to report live. For observers, a dangerous precedent - and at the same time a momentum for democracy.",肯尼亚的抗议活动:政府的目标是新闻自由.,"星期三,当肯尼亚年轻人抗议独裁统治时,媒体被禁止现场直播. 观察者是一个危险的先例,也是民主的动力."
13,Osteuropa plant Minenteppich gegen Putin,Mehrere europäische Länder planen einen Minengürtel an der Grenze zu Russland und Belarus. Damit wollen sie im Ernstfall die NATO-Ostflanke vor einem möglichen russischen Angriff schützen - mit schwerwiegenden Folgen.,Eastern Europe plans mine carpet against Putin,"Several European countries are planning a mine belt on the border with Russia and Belarus. In this way, they want to protect the NATO eastern flank from a possible Russian attack - with serious consequences.",东欧的矿坑计划对付普京,"一些欧洲国家计划在与俄罗斯和白俄罗斯的边界设一个地雷带. 果真如此,它们将保护北约的东岸,避免俄罗斯可能遭受攻击,造成严重后果."
14,"Minister Dobrindt: ""Belastungsgrenze bei Migration erreicht""","Die Regierung hat im Bundestag durchgesetzt, dass eine bestimmte Gruppe von Geflüchteten zwei Jahre lang keine Familienangehörigen nach Deutschland holen darf. Linke und Grüne sorgen für eine hitzige Debatte.","Minister Dobrindt: ""Achieving the burden limit on migration""",The government has enforced in the Bundestag that a certain group of refugees must not bring family members to Germany for two years. Left and Greens ensure a heated debate.,"Dobriant部长说 ""到达移民的负担限制""","政府在联邦会议上宣布,某一群逃犯在两年内不得带家人去德国. 左翼和绿党将引起激烈的辩论."
15,Mehr Einwohner im Osten Deutschlands durch Wohnen auf Probe?,In Ostdeutschland schrumpfen viele Städte und Gemeinden. Projekte zum günstigen Probewohnen sollen Menschen wieder in die Region locken.,More residents in eastern Germany by living on trial?,"In East Germany, many cities and communities are shrinking. Projects for favorable test living should attract people back to the region.",更多的德国东部居民 试探住宿?,"在东德,许多城市和社区都在缩水. 低成本的彩排项目旨在把人们引回该地区."
16,"Große Pläne, kleine Zahlen: Fachkräfte aus Afrika","Chancenkarte, Migrationsabkommen, Auslandsportal: Deutschland will Fachkräfte aus Afrika anwerben. Doch warum kommen so wenige? Und warum werden so viele abgelehnt?","Big plans, small numbers: professionals from Africa","Chance map, migration agreements, international portal: Germany wants to recruit skilled workers from Africa. But why do so few come? And why are so many rejected?","大计划,小数字: 非洲技术人员","机会卡,移民协定,海外出口,德国想从非洲招聘技术人员,为什么这么少人来?"
17,Statement von Entwicklungsministerin Reem Alabali Radovan zur Unterzeichnung eines Friedensabkommens durch die Außenminister der Demokratischen Republik Kongo und Ruandas in Washington,"„Der Krieg im Ostkongo hat unvorstellbares Leid über die Menschen in der Region gebracht. Die Unterzeichnung des neuen Friedensvertrags ist ein wichtiger Schritt in eine friedvollere Zukunft für die Menschen in der Demokratischen Republik Kongo, in Ruanda und für die gesamte Region. Nun geht es darum, dass dieser Vertrag auch wirklich umgesetzt wird – dass die Waffen endlich schweigen, dass Gewalt, Vergewaltigungen, Vertreibung und Missbrauch ein Ende haben. Die leidgeprüfte Bevölkerung im Ostkongo muss ein Leben in Sicherheit, Gewaltfreiheit und Würde führen können. Wir werden die Umsetzung der Friedensvereinbarung genau verfolgen.""",Statement by Development Minister Reem Alabali Radovan on the signing of a peace agreement by the Foreign Ministers of the Democratic Republic of the Congo and Rwanda in Washington,"""The war in the East Congo has brought unimaginable suffering to the people of the region. The signing of the new peace treaty is an important step towards a more peaceful future for the people of the Democratic Republic of Congo, Rwanda and for the entire region. Now it is about the fact that this treaty is actually being implemented – that the weapons are finally silent, that violence, rape, expulsion and abuse have an end. The suffering-tested people in the East Congo must be able to lead a life in security, non-violence and dignity. We will closely follow the implementation of the peace agreement.""",刚果民主共和国外交部长和卢旺达外交部长 在华盛顿发表了关于签署和平协议的演讲.,"东北战争给该地区人民带来了难以想象的痛苦. 签署新和平条约是为刚果民主共和国,卢旺达和整个区域人民更和平的未来迈出的一大步. 现在,它正在真正地被执行,这些条约将不言而喻地结束暴力,强奸,流离失所和虐待行为. 东北克的苦难人民必须能够安全,自由和尊严地生活. 我们将密切关注和平协定的实施. """
18,Deutschland bleibt verlässlicher Partner bei der Bekämpfung von weltweiten Krankheiten,"Deutschland wird sich weiterhin für den weltweiten Schutz vor vermeidbaren Krankheiten einsetzen. Bei der heutigen Wiederauffüllungskonferenz der Impfallianz Gavi in Brüssel kündigt Entwicklungsministerin Reem Alabali Radovan an, insgesamt 600 Millionen Euro bis 2030 zur Verfügung zu stellen.",Germany remains a reliable partner in the fight against global diseases,"Germany will continue to promote global protection against preventable diseases. At today's Gavi Impfallianz replenishment conference in Brussels, development minister Reem Alabali Radovan announces that she will make a total of EUR 600 million available by 2030.",德国在应对全球疾病方面依然是可靠的伙伴,"德国将继续致力于在全球范围内防治可预防的疾病. 在今天的布鲁塞尔防灾戈威会议上,发展部长雷姆·阿拉巴利·拉多万 (Reem Alabali Radovan) 宣布到2030年将提供6亿欧元."
19,Haushaltsentwurf 2025: Deutschland bleibt verlässlicher Partner in der globalen Zusammenarbeit,"Der heute im Kabinett beschlossene Haushaltsentwurf sieht einen Ansatz von 10,3 Milliarden Euro für den Etat des Entwicklungsministeriums im Jahr 2025 vor. Dazu sagt Ministerin Alabali Radovan: „Deutschland bleibt verlässlicher Partner für wirtschaftliche Zusammenarbeit und Entwicklung in der Welt. Das ist angesichts der extremen globalen Herausforderungen, Krisen und Kriege für Millionen von Menschen von existenzieller Bedeutung. (...)""",Draft budget 2025: Germany remains a reliable partner in global cooperation,"The draft budget adopted today in the cabinet provides for an approach of 10.3 billion euros for the budget of the Ministry of Development in 2025. Minister Alabali Radovan says: ""Germany remains a reliable partner for economic cooperation and development in the world. This is important for millions of people of existential importance in view of the extreme global challenges, crises and wars. (...)""",2025年拟议预算:德国仍然是可靠的全球合作伙伴.,"今天在内阁内通过的预算草案为发展部2025年预算提供了1030亿欧元的预算. 此外,国务卿阿拉巴利·拉多万说:德国依然是世界经济合作和发展的可靠伙伴. 面对全球的极端挑战,危机和战争,为数以百万计的生存重要人士提供战争. (...)"
20,Entwicklungsministerin Alabali Radovan: „Gerade jetzt dürfen wir Gaza nicht aus den Augen verlieren.“,"Entwicklungsministerin Reem Alabali Radovan hat heute den Chef des UN-Hilfswerks für Palästinaflüchtlinge (UNRWA) Philippe Lazzarini getroffen. An dem Treffen, das im Ministerium in Berlin stattfand, nahm auch Staatssekretär Niels Annen teil.  Im Zentrum des Gesprächs standen die Lage in Gaza und die eingeschränkte humanitäre Unterstützung der Menschen vor Ort. Darüber hinaus sprach die Ministerin die Fortschritte bei den Reformen an, zu denen sich das Hilfswerk wegen des Vorwurfs mangelnder Neutralität verpflichtet hat.","Development Minister Alabali Radovan: ""Right now we must not lose sight of Gaza.","Development Minister Reem Alabali Radovan met today the head of the UN Relief Agency for Palestine Refugees (UNRWA) Philippe Lazzarini. State Secretary Niels Annen also attended the meeting, which took place at the Ministry in Berlin. At the center of the discussion were the situation in Gaza and the limited humanitarian support of the people on the ground. In addition, the Minister spoke about the progress made in the reforms to which the relief agency committed itself because of the lack of neutrality.","发展部长阿拉巴利·拉多万: 现在,我们不能失去加沙.","发展部长雷姆·阿拉巴利·拉多万 今天与联合国巴勒斯坦难民救济和工程处 (UNIKA) 的首席执行官会面. 在柏林的会议中,部长尼尔斯·安恩也参加了. 会谈的核心是加沙的局势以及当地民众的人道主义支持有限. 此外,部长还提到了工程处对缺乏中立性的指控所承诺的改革进展."
