,count,example,word-de,word-en,word-es
0,408,Mapa de la expansión y claves para entender el coronavirus de Wuhan,von,of,de
1,288,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",den,on,el
2,264,Mapa de la expansión y claves para entender el coronavirus de Wuhan,die,ed,la
3,144,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",a,a,a
4,144,Ciudadanos pagaba un sueldo a un vocal de la Junta Electoral Central que resolvió recursos del partido,ein,a,un
5,120,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",Coronavirus,coronavirus,coronavirus
6,120,El turismo italiano se resiente; España mira expectante,se,I know.,se
7,96,“La magnitud del problema del coronavirus no será diferente a una gripe”,vom,of the,del
8,96,Así avanzan las encuestas en Galicia y País Vasco,ng,in,en
9,96,El Gobierno salva el primer escollo de los Presupuestos gracias a ERC,die,the,los
10,96,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",durch,by,por
11,96,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",was,that,que
12,96,Mapa de la expansión y claves para entender el coronavirus de Wuhan,und,and,y
13,72,Así avanzan las encuestas en Galicia y País Vasco,die,the,las
14,72,"Un periodista que viajó a Milán para cubrir el Valencia-Atalanta, positivo por coronavirus",für,for,para
15,72,“La magnitud del problema del coronavirus no será diferente a una gripe”,eine,one,una
16,48,Así avanzan las encuestas en Galicia y País Vasco,So.,Like this.,Así
17,48,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,gegen,against,contra
18,48,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,Europäer,European,europeos
19,48,Mapa de la expansión y claves para entender el coronavirus de Wuhan,Erweiterung,expansion,expansión
20,48,Así gestionan nuestros vecinos europeos la expansión de Airbnb,unsere,ours,nuestros
21,48,Así avanzan las encuestas en Galicia y País Vasco,Land,Country,País
22,48,China desvela de qué está hecha la cara oculta de la Luna,was?,what,qué
23,48,El coronavirus de Wuhan | Japón cerrará todos sus centros escolares hasta fin de marzo,",",their,sus
24,48,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,Trump,Trump,Trump
25,48,Mapa de la expansión y claves para entender el coronavirus de Wuhan,Wuhan,Wuhan,Wuhan
26,48,“La magnitud del problema del coronavirus no será diferente a una gripe”,"B. mit einem Gewicht von mehr als 1 kg, jedoch nicht mehr als 1 kg,",“The,“La
27,24,La mesa de diálogo se reunirá mensualmente y los acuerdos serán “en el marco de la seguridad jurídica”,Vereinbarungen,agreements,acuerdos
28,24,Así gestionan nuestros vecinos europeos la expansión de Airbnb,Airbnb,Airbnb,Airbnb
29,24,Trump nombra al vicepresidente Pence a cargo de la crisis del coronavirus,am,as at,al
30,24,Javier Bardem: “Hoy hay algún Hernán Cortés en el Congreso”,Irgendwelche,some,algún
31,24,Plácido Domingo anula sus representaciones en el Real antes de que el teatro las cancelara,vorher,before,antes
32,24,50 antiguos ministros y dirigentes europeos se pronuncian contra el plan de Trump para Palestina,alt,old,antiguos
33,24,Plácido Domingo anula sus representaciones en el Real antes de que el teatro las cancelara,storniert,cancels,anula
