,title-de,content-de,title-en,content-en,title-zh,content-zh
0,US-Militärschlag im Iran: Was steht jetzt auf dem Spiel?,Der Luftschlag der USA im Iran markiert eine gefährliche neue Phase: Bedeutet die Bombardierung der Atomanlagen den Beginn einer weiteren Eskalation? Antworten auf zentrale Fragen.,US military strike in Iran: What is at stake now?,The US air strike in Iran marks a dangerous new phase: Does the bombing of nuclear facilities mean the beginning of a further escalation? Answers to key questions.,美国对伊朗的军事打击 现在有什么风险?,美国在伊朗的空袭标志着一个危险的新阶段:轰炸核设施是否意味着进一步升级? 对核心问题的答案?
1,USA bombardieren Irans Atomanlagen,Die USA haben mit dem Angriff direkt in den Krieg an der Seite des Verbündeten Israel eingegriffen. Präsident Trump drohte dem Iran mit noch stärkeren Attacken.,US bombing Iran's nuclear facilities,"With the attack, the US intervened directly in the war alongside the ally Israel. President Trump threatened Iran with even stronger attacks.",美国轰炸伊朗的核设施,美国与以色列盟友直接交战. 特朗普总统威胁要对伊朗发动更猛烈的攻击.
2,EU ruft nach US-Angriffen auf Iran zur Zurückhaltung auf,"Zurückhaltung, Diplomatie, Verhandlungen - das sind die mahnenden Worte, die am häufigsten fallen, wenn die Europäer den US-Angriff auf Iran bewerten sollen. Auch der UN-Generalsekretär äußert sich.",EU calls for US attacks on Iran to be restrained,"Restraint, diplomacy, negotiations - these are the admonishing words that most often fall if Europeans are to evaluate the US attack on Iran. The UN Secretary-General also comments.","欧盟呼吁美国对伊朗发动攻击,以保持克制","如果欧洲人要评估美国对伊朗的攻击,那么这些建议最常见的. 联合国秘书长也发表了声明."
3,Iran: Ist ein Regimewechsel möglich?,"Die Führung der Islamischen Republik setzt auf das patriotische Empfinden der Bevölkerung, um ihre Macht zu stabilisieren. In der Opposition rührt sich Widerstand. Sie ist aber zersplittert.",Iran: Is a regime change possible?,"The leadership of the Islamic Republic relies on the patriotic sentiment of the population to stabilize its power. Opposition stirs up resistance, but it is fragmented.","伊朗,可以改变政权吗?","伊斯兰共和国的领导层依赖于民众的爱国感,以稳定他们的力量. 在反对党中,反对势力正在蔓延,但是它已经分裂了."
4,Scharfe Kritik von Top-Demokraten nach US-Angriffen im Iran,"Führende US-Demokraten werfen Trump vor, die USA mit dem Eingreifen in den Konflikt in Richtung Krieg zu treiben. Auch unter seinen Anhängern gibt es nicht nur Zustimmung.",Sharp criticism of top democrats after US attacks in Iran,"Leading U.S. Democrats accuse Trump of driving the U.S. into war by intervening in the conflict. Even among his supporters, there is not only agreement.","美国入侵伊朗后,美国对高级专制人士的强烈批评",美国高级官员特朗普指责美国干预战争. 他的支持者也不仅仅同意.
5,Belarus: Oppositionspolitiker Sergej Tichanowski ist frei,"Nach mehrjähriger Haft ist einer der Anführer der Opposition in Belarus, Sergej Tichanowski, aus dem Gefängnis entlassen worden. Die USA und europäische Staaten hatten sich vermittelnd eingeschaltet.",Belarus: Opposition politician Sergei Tichanovsky is free,"After several years of imprisonment, one of the opposition leaders in Belarus, Sergei Tichanovsky, was released from prison. The US and European states had intervened medially.",白俄罗斯:反对派政治人物谢尔盖·蒂卡诺斯基自由了,"经过多年的监禁后,在白俄罗斯的一位反对党领袖被释放了. 美国和欧洲各州也都参与其中."
6,Malis Militärherrscher festigt seine Macht,"Junta-Chef Assimi Goita hat bereits 2020 die Militärherrschaft in Mali übernommen, doch der erhoffte Wandel zu mehr Stabilität und Demokratie ist in weite Ferne gerückt. Was ist in den vergangenen fünf Jahren geschehen?",Mali's military ruler strengthens his power,"Junta leader Assimi Goita has already taken over military rule in Mali in 2020, but the expected change to more stability and democracy has moved far away. What has happened in the past five years?",马里的军事统治者会巩固他的权力,"军阀阿西米伊·戈塔 (Assimi Goita) 于2020年接管了马里的军事统治,但预期的更稳定和民主的变革却远在天涯海角. 过去五年里发生了什么?"
7,Wie Malawis Jugend um politische Integration kämpft,"Während sich Malawi auf die Wahlen im September vorbereitet, drängen junge Kandidaten auf eine politische Beteiligung. Doch eingefahrene Parteistrukturen und finanzielle Hindernisse stehen ihnen im Weg.",How Malawi's Youth Fights for Political Integration,"While Malawi is preparing for the elections in September, young candidates are pushing for political participation. However, party structures and financial obstacles stand in their way.",就像马拉维年轻时一样 为政治一体化而奋斗,"马拉维准备9月的选举时,年轻的候选人正敦促政治参与. 但入党的结构和财务障碍阻碍了他们."
8,Faktencheck: Dieses virale Drohnenvideo von der Zerstörung im Gazastreifen ist echt,"Ein virales Video soll Zerstörungen in Gaza durch israelische Angriffe zeigen. Die DW hat die Aufnahmen überprüft: Obwohl von einigen Usern anders dargestellt, sind sie tatsächlich echt.",Fact Check: This viral drone video of the destruction in Gaza is real,"A viral video is supposed to show destruction in Gaza by Israeli attacks. The DW has checked the recordings: Although depicted differently by some users, they are actually real.",事实调查:加沙地带被毁的这个病毒无人机视频是真的,"DW检查了这些录像,虽然有些用户有不同描述,但它们是真的"
9,Deutschland will Weltkriegsmunition im Meer unschädlich machen,Noch immer liegen große Mengen giftiger Kampfstoffe aus dem Zweiten Weltkrieg auf dem Meeresgrund vor den deutschen Küsten. Sie sollen geborgen und unschädlich gemacht werden.,Germany wants to make World War II munitions in the sea harmless,Large quantities of toxic weapons from the Second World War are still lying on the seabed off the German coasts. They are to be recovered and rendered harmless.,德国希望德国在海上使用世界大战的弹药,"德国海岸的海底依然存在来自二战的大量有毒弹药. 他们将得到救赎,并不受破坏."
